날짜,제목,내용
2023.06.02.,"김창중 대연전력기술 대표 ""과감한 투자로 '전문인력 양성' 노력""","최근 한국전력공사 송변전운영처가 변전분야 안전 및 시공품질 관리 우수회사 6곳을 선정·발표했다. 한전이 전국 각 사업소에서 우수회사를 추천받아 엄격한 심사를 통해 187개 변전전문회사 중 6개사에만 인증서를 부여한 만큼, 선정된 회사는 시공 현장에서 고품질과 완벽한 안전 관리를 통해 전력계통..."
2023.06.02.,스마트기기로 에너지절감하면 ㎾h당 1천600원 보상,"▲ 수급 비상 예상 시 ▲ 미세먼지 경보 시 ▲ 이상기온 발생 시 ▲ 적정 공급예비력 미달 시 한국전력거래소에서 국민 DR을 발령하고, 이때 전력 소비를 줄이면 보상받는다. 산업부는 올해 CU 직영 편의점 4개소, GS 더프레시 1개소 등을 시작으로 상업시설 대상 실증 사업을 추진 중이다. 효과가 검증되면..."
2023.06.02.,'냉방비 폭탄' 발 물가 교란 막는다...에너지 캐시백·바우처 확대,"산업통상자원부와 한국전력은 지난해 말 국회에 ‘올해 ㎾h당 51.6원 인상안’을 보고했다. 우여곡절 끝에 1분기에 25%인 13.1원을, 2분기에는 우여곡절 끝에 8원을 올리는데 그쳤지만, 올 여름 역대급 폭염이 예상되며 가계에 적지 않은 부담으로 작용할 전망이다. 방 차관은 ""취약계층의 경우, 에너지바우처..."
2023.06.02.,‘전기 먹는 하마’ 데이터센터를 非수도권으로…“20억원대 혜택”,2일 산업통상자원부와 한국전력에 따르면 최근 개정된 한전 기본공급약관 시행세칙에는 이같은 내용이 포함됐다. 사진=게티이미지뱅크 이달 1일자로 시행된 새 시행세칙의 ‘데이터센터 공급 특례’에 따르면 22.9㎸(킬로볼트) 전력을 공급받는 비수도권 신설 데이터센터는 전기 시설부담금의 50%를...
2023.06.03.,[하나證 주간추천주]SK이노베이션·한국전력·삼성전기,"△한국전력(015760) -원자재 가격 우호적인 흐름. 유연탄, 액화천연가스(LNG) 가격 하락으로 원가 부담 감소. -절대적인 원가 부담은 여전히 높지만 향후 전기요금 인상으로 실적 정상화 기대. 삼성전기 본사. (사진=삼성전기) △삼성전기(009150) -중국 6·18 축제 앞두고 2분기 중화권 스마트폰 업체들의..."
2023.06.03.,"삼성전자 2.3도 한전 3.2도기업 43.3%, 파리협정 목표 초과","나머지 기업의 ITR은 한국전력 3.2도, GS 3.2도, LG화학 3.2도, 포스코홀딩스 2.4도, SK 2.2도, 삼성전자 2.3도 순으로 높았다. 온실가스 배출량과 무관하게 온도 상승 전망치가 높은 5곳은 주로 화학·운수장비·기계 부문 기업이다. 조사 대상 기업 중 SKC가 4도로 가장 높았다. 롯데케미칼 3.8도..."
2023.06.03.,"""꽉 잡아 전기료 오른다"" 대출 금리까지 흔드는 전기료 '나비효과' [일큐육공...","전기 요금을 꾸준히 올리는데도 왜 한국전력이 엄청난 적자를 떠안게 됐는지, 전기료와 한전의 적자가 어떻게 대출 금리와 국가 신용도에까지 영향을 줄 수 있는지 ‘한큐에' 정리했다. 가장 비싼 여름을 맞게 된 나라는 우리만이 아니다. 일본은 2인가구 이상 전기요금이 1년 사이 33% 가량 올랐고, 미국도 8..."
2023.06.03.,"성주군, 전기차 완속충전기 25기 설치 지원사업 추진","지원대상은 군내 전기차를 보유한 개인 및 법인이며, 설치부지가 확보되어야 하고 환경부 및 한국전력공사 등 타기관에서 지원받은 이력이 없어야 한다. 개인(세대), 법인당 1대만 지원받을 수 있고 최대 지원금액은 100만 원이며, 보조금을 제외한 나머지 비용은 신청자가 부담한다. 신청자 개인은 주민등록등본..."
2023.06.03.,"경남도, '차세대 원전 글로벌 제조거점 육성' 비전 제시","또한, 삼성중공업, 한화오션, 한국전력기술, 한국원자력연구원 등과 함께 육상원전뿐만 아니라, 선박 및 해양플랜트에 적용할 수 있는 용융염원자로 등의 차세대원전 기술개발 및 실증 연구도 추진한다. 원전해체 기술 중 절단·해체·제염 등의 기술개발에 235억원을 투입하고, 사용후핵연료 저장용기의..."
2023.06.03.,부곡공단 지반침하 4개 업체 중점관리대상 지정,"ⓒ당진신문DB 한국전력 전력구 공사로 인한 지반침하로 피해를 겪는 부곡공단 4개 업체가 중점관리대상으로 지정됐다. 지난 2017년 한국전력은 전력구 공사를 시작했으나, 과도한 지하수 유출 원인으로 부곡공단 일부에서 지반침하가 발생됐다. 이후 전력구 공사는 중지됐지만, 부곡공단의 물적 피해 규모는..."
2023.06.03.,"[10년 전 오늘] 원전비리 수사단, 부품 비리 검증업체 대표 소환",2008년 새한티이피의 영업담당임원으로 일하면서 팀장 이 모 씨와 함께 시험 성적서를 위조한 혐의로 2013년 5월 한수원으로부터 고발을 당했습니다. 원전비리 수사단은 고발된 2개 업체는 물론이고 검수업체인 한국전력기술과 납품을 받은 한국수력원자력도 영역 구분 없이 철저히 수사하겠다고 밝혔습니다.
2023.06.03.,"KB증권, 6월 첫째주 DL이앤씨 등 7종목 매수 추천","한국전력(015760) 2분기 매출액 20조1000억원(+29.6% YoY), 영업 손실 2조5000억원(적자지속 YoY) 전망. 에너지 가격 하락으로 하반기 흑자전환 가능할 전망이나, 밸류에이션 개선을 위해서는 전기요금 인상 필요성 여전. 목표주가 1만9000원과 투자의견 Hold 유지 한전기술(052690) 2분기 매출액..."
2023.06.03.,"시멘트업계, 올해도 가격 인상 추진…건설·레미콘업계 ‘반발’","앞서 산업통상자원부와 한국전력공사는 1분기에 이어 올해 2분기(4~6월)에도 전기요금을 kWh(키로와트시)당 8.0원 인상키로 했다. 전기료는 시멘트업계의 제조원가 중 유연탄 다음으로 높은 비중을 차지한다. 유연탄 등 연료비가 30%대, 전력비가 25% 내외로 알려졌다. 시멘트 업계 1위인 쌍용이 가격 인상을..."
2023.06.04.,"한전, '전직원 임금인상분 반납' 논의 노사 실무위 구성",한국전력이 고강도 자구안에 포함했던 전직원 임금 인상분 반납을 논의하기 위한 노사 실무위원회를 구성했다. 1차 임금교섭에서 노사의 입장이 엇갈린만큼 합의에 난항이 예상된다. 4일 한전에 따르면 노동조합과 사측이 올해 임금 및 자구노력 집행을 위한 협의를 위한 실무위원회를 구성했다. 한전 관계자는...
2023.06.04.,"전기 요금 인상에 시멘트 값 줄인상…""2년 새 60% 폭등""","성신양회, 쌍용 C&E 이어 7월 벌크시멘트 14%대 인상 발표 건설 공사비·분양가 상승 '나비효과' 우려 한국전력의 전기 요금 인상 여파로 건설업계 원자재 가격이 잇따라 오르고 있다. 4일 시멘트 업계에 따르면, 성신양회는 지난 2일 레미콘 업계 등에 오는 7월부터 현재 톤(t) 당 10만5000원인 1종..."
2023.06.04.,"전기료 '찔끔' 인상 역부족…'日 이자 116억' 한전, 솟아날 구멍은",한국전력의 누적 적자가 44조원을 넘어섰다. 이자 비용만 하루 평균 116억원이다. 정부는 전기 요금을 소폭 올렸지만 전기를 판매할수록 손해를 보는 '역마진' 구조 개선 없이는 한전의 정상화가 어렵다는 분석이 나온다. 증권가에선 에너지 가격 하락과 요금 인상만이 한전의 탈출구라고 본다. 지난 2일...
2023.06.04.,"경기도 프로스포츠 관람료, 노인·장애인 외 동반자도 75% 할인","18개 프로스포츠단은 축구 7개 구단(삼성블루윙즈·수원FC·성남FC·부천FC1995·안산그리너스FC·FC안양·김포FC), 야구 1개 구단(KT위즈), 농구 5개 구단(KT소닉붐·캐롯점퍼스·KGC인삼공사·삼성생명블루밍스·하나원큐), 배구 5개 구단(한국전력빅스톰·KB손해보험스타즈·OK금융그룹읏맨..."
2023.06.04.,"김학동 예천군수 ""예천아시아U20육상대회 성공 개최 이끈다""","지난 1일 소방서, 경찰서, 한국전기안전공사, 한국전력공사 등 관련 기관과 함께 대회 원활한 진행을 위한 합동 안전점검을 마쳤다. 이어 대회 개막식 하루 전인 2일에는 육상대회 현장과 선수들 훈련장 돔 훈련장, 선수 편의시설 등 대회 시설 내외부를 꼼꼼히 점검했다. 이날 체감온도는 30도를 넘어서는 등..."
2023.06.04.,[하승수 칼럼] 오르는 전기요금을 보며,"그리고 이번 인상이 최종적인 것이 아니라, 한국전력공사 등의 적자 상황을 생각하면, 추가적인 전기요금, 가스요금 인상도 예상되는 상황이다. 국제적인 연료비 상승으로 공공요금을 인상할 필요성이 있다는 것을 부정할 수는 없다. 그러나 지금 한국전력공사가 겪고 있는 대규모 적자사태의 원인이나..."
2023.06.04.,[U20 육상] 김태훈“국가가 불러줬으니 젖 먹던 힘까지 냈죠”,"부상으로 김재룡 감독의 ‘경기 포기 권유’에도 투혼 발휘해 한바퀴 남기고 이변, 값진 은메달 선사 대한민국 육상 중·장거리 희망 김태훈(19·한국전력공사)이 4일 오후 경북 예천스타디움에서 열린 ‘제20회 예천아시아U20육상경기선수권대회’ 남자 3000m 결선에서 8분41초로 금메달 못지 않은 은메달을..."
2023.06.04.,"[U20 육상] 한국, 첫날 메달 銀 2개·銅1개 수확…종합순위 5위","김태훈(19·한국전력공사)은 8분41초136을 뛰어 나가시마 소나타(일본·8분19초489)에 이어 두 번째로 결승선을 지났다. 나마디 조엘진(17·김포제일공고)은 남자 100m 준결승에서 10초59를 기록, 한국 선수 중 유일하게 결선(5일)에 진출했다. 한국은 첫날 총 3개 메달을 수확해 종합순위 5위를 달렸다. 일본이..."
2023.06.05.,"한국전력거래소, '재생에너지 연계형 ESS 유연자원화' 기술개발 사업 추진","한화컨버전스-인코어드와 'MOU'…""비상시 계통예비력으로 활용"" 한국전력거래소는 '재생에너지 연계형 ESS 유연자원화'를 위한 '기술개발 및 실증사업'을 공동 추진하기 위해 한화컨버전스·인코어드와 업무협약(MOU)을 체결했다고 5일 밝혔다. 이번 업무협약은 재생에너지 연계형 ESS를 활용한 기술개발 및..."
2023.06.05.,"[에너지공기업 데일리 이슈] 전력거래소 ""재생E 연계 ESS, 비상시 계통예비력...","이날 행사는 공정거래위원회의 주최로 한전KDN을 비롯한 한국전력, LH, 가스공사 등 14개 공공기관장과 관련 임직원들이 참석하여 기관별 '입찰담합 관여 행위 방지를 위한 자율 개선방안' 등에 대한 발표와 실천선언문 채택으로 진행됐다. 특히, 최근 3년간 공정위의 담합관련 과징금 부과사건 중 공공부문이..."
2023.06.05.,2050년 사용전력 재생에너지 100%,"사업장에 설치된 고효율 태양광 패널을 활용한 재생에너지 발전 및 사용을 확대하는 것은 물론이고 재생에너지 공급인증서(REC) 구매, 재생에너지 전력구매계약(PPA), 한국전력의 녹색프리미엄 등 다양한 방안도 적극 병행한다. LG전자는 국내 발전사업자 GS EPS와 협업해 2025년 완공을 목표로 창원..."
2023.06.05.,"LG전자, RE100 가입 완료…“2050년 전력 100% 재생 에너지 대체”","사업장에 설치된 고효율 태양광 패널을 활용한 에너지 발전을 늘리고 재생에너지 공급인증서(REC) 구매, 재생에너지 전력구매계약(PPA), 한국전력의 녹색프리미엄 등 방안도 마련할 계획이다. LG전자는 국내 발전사업자 GS EPS와 협업해 2025년 완공을 목표로 창원 LG스마트파크 통합생산동 옥상에..."
2023.06.05.,"LG전자, RE100 가입…“2050년까지 사용전력을 재생에너지 100%로 전환”","사업장에 설치된 고효율 태양광 패널을 활용한 재생에너지 발전 및 사용을 확대하는 것은 물론이고 재생에너지 공급인증서(REC) 구매, 재생에너지 전력구매계약(PPA), 한국전력의 녹색프리미엄 등 다양한 방안도 적극 병행한다. LG전자는 국내 발전사업자 GS EPS와 협업해 2025년 완공을 목표로 창원..."
2023.06.05.,하나증권: SK이노베이션·한국전력·삼성전기,"하나증권은 SK이노베이션, 한국전력, 삼성전기를 6월 둘째 주(6월5일~6월9일) 주간추천종목으로 선정한다고 5일 밝혔다. SK이노베이션에 대해선 ""미국 조지아 1,2공장의 수율 정상화에 따른 AMPC 반영과 이에 따른 추정치 상향이 기대된다""며 ""유가와 정제 마진은 이미 큰 폭 하락해 추가적인 하락폭 제한된다..."
2023.06.05.,"전력기기 제조사, 전기연구원에 '긴 대기시간, 비싼 시험비' 개선 촉구","김남균 KERI 원장이 직접 주관한 이번 간담회에는 이재광 한국전기에너지산업협동조합 이사장, 문희봉 전기공업협동조합 이사장, 류인규 한국전선공업협동조합 이사장, 유병언 한국전력기기사업협동조합 이사장, 정재원 배전반사업협동조합 이사장, 유신하 한국중전기사업협동조합 이사장 등 6개 조합..."
2023.06.05.,"대통령실, KBS 수신료 분리징수 추진 “법령 개정·이행방안 마련하라”","현행 방송법은 ‘텔레비전 수상기를 소지한 자’에게 수신료를 납부하도록 하는데, 1994년부터 한국전력이 KBS 수신료 징수 업무를 위탁받아 전기요금과 함께 징수해 왔다. 통합징수 관련 소송에서 사법부는 2016년 대법원 판결 등을 통해 위법이 아니라고 판단했다. 향후 정부가 추진하는 제도개선 방안은 법..."
2023.06.05.,대통령실 “TV 수신료 분리징수 위한 법령 개정·후속조치 권고”,"앞서 대통령실은 3월 9일부터 한 달간 TV 수신료 징수 방식을 국민참여토론에 부친 결과, 총투표수 5만 8251표 중 약 97％가 분리 징수에 찬성했다고 밝혔다. KBS 수신료(월 2500원)는 1994년부터 전기요금과 통합해 한국전력공사가 일괄 징수하고 있다."
2023.06.06.,SK이노베이션·한국전력·삼성전기 [주간 추천종목-하나증권],"SK이노베이션, 조지아 1·2공장 수율 정상화 한국전력, LNG 가격 하락으로 원가 부담 감소 삼성전기, 중화권 스마트폰 업체 회복 가능성 [한국금융신문 임지윤 기자] ◇ SK이노베이션(대표 김준) - 유가증권시장(KOSPI) - 미국 조지아 1·2공장 수율 정상화에 따른 첨단 제조 생산 세액공제(AMPC..."
2023.06.06.,'강릉 산불' 비대위 한국전력에 손배소 착수,"강릉 산불 비상대책위원회가 한국전력을 상대로 손해배상을 받기 위한 소송 준비에 속도를 내고 있습니다. 비대위는 이른 시일 내에 법원의 감정평가를 거친 뒤 피해 주민 150여 명이 공동으로 한전에 청구할 손해배상액 규모를 산정하겠다는 계획을 밝혔습니다. 한편, 4월 11일 산불로 주택과 펜션 등의 화재..."
2023.06.06.,"한국전력, 여름철 에너지 비용 ‘전기 요금 분할납부 제도 한시적 확대 시행’","▲자료...한국전력 한국전력이 전기 요금 시뮬레이션 서비스 앱을 통한 전기 요금 컨설팅 서비스를 제공한다. 한국전력(사장 직무대행, 이정복)은 국민의 에너지 비용 증가 부담 완화를 위해 2023년 6월부터 9월분까지 전기 요금에 대하여 분할납부 제도를 한시적으로 확대 시행한다. 기존에는 일부 주택용 고객만..."
2023.06.06.,7월 역대급 무더위 예고… 전력수급 대책 조기 가동,"6일 산업통상자원부에 따르면 산업부는 지난달 26일 한국전력공사, 전력거래소 등 유관기관과 '여름철 전력수급 준비상황 점검회의'를 진행했다. 특히 올해는 이른 더위에 전력수급이 차질을 빚지 않도록 '여름 전력수급 대책기간'을 6월 마지막 주부터 시작하기로 결정했다. 지난해의 경우 7월 4일부터 9월..."
2023.06.06.,"KBS ""대통령실, 수신료 분리징수 사실상 지시""","독일의 10분의1의 수준에 불과함에도 공영방송 역할을 다할 수 있었던 건 통합징수를 통해 수신료를 효율적으로 징수하고 사용할 수 있었기 때문""이라며 ""한국전력공사가 수신료와 전기요금을 결합해 징수함으로써 국민들이 받는 불이익이 이를 통해 달성하고자 하는 공익보다 크다고 볼 수 없다""는..."
