날짜,제목,내용
2023.06.02.,"대만 양밍해운, 현대重에 자사 최대규모 1.5만TEU급 컨선 5척 발주","총 건조 금액은 총 1조2392억원이며, 울산 HD현대중공업에서 건조돼 2026년부터 순차적으로 선주사에 인도될 예정이다. 신조선은 길이 365m, 너비 51m, 높이 29.85m로, LNG 추진 엔진이 탑재돼 강화된 국제해사기구(IMO)의 환경 규제에 대응할 수 있다. 영국 조선·해운시황 분석기관 클락슨이 지난 3월..."
2023.06.02.,글로벌 전역에 펼쳐진 HD현대의 '수소 공동전선',"올 1분기에도 HD한국조선해양·HD현대중공업 등은 전년비 50% 늘어난 연구개발비용을 집행한 것으로 전해졌다. 지난 1월 세계 최대 정보기술 전시회인 'CES 2023'에 등판한 정 사장은 ""글로벌 에너지 위기와 기후 변화 등, 인류에게 닥친 가장 시급한 문제를 해결하기 위해서는 바다가 품고 있는 무한한..."
2023.06.02.,조선업계 실적개선 본격화…인력난도 소폭 개선,"HD현대중공업이 건조해 지난 2022년 인도한 200K LNG운반선의 시운전 모습 ⓒ HD현대 실적개선 사이클에 돌입한 조선업계가 인력난 리스크를 극복하고 순항을 이어갈 수 있을지 이목이 집중된다. 2일 업계에 따르면, 국내 조선사 수주잔량은 꾸준히 늘고 있다. 영국 조선해운시황 전문기관..."
2023.06.02.,<윤석열 시대 재계판도의 明暗⑨> 삼성의 국유화가 한국재계에 미칠 영향,"뭐 때문에 그런 고생을 시킵니까"" 하지만 정몽준이사장이 최대 주주로 있는 현대중공업그룹, HD현대는 그의 장남인 정기선 HD현대 사장으로의 3세 경영승계가 마무리 단계다. 정기선 사장은 몇년전부터 대통령 주재 각종 재계 행사에 참석하거나 해외출장에도 동행하고 있다. 재계 안팎에서는 정몽준이사장이..."
2023.06.03.,‘37만 개 부품의 하모니’…누리호 연속 성공의 숨은 주역들 [주말엔],"2016년부터 약 4년에 걸쳐 완성된 누리호 발사대는 지하 3층 구조, 연 면적 약 6천㎡ 크기의 거대한 구조물인데, 국내 조선업체인 HD현대중공업이 개발한 결과물입니다. HD현대중공업은 발사대 기반 시설 공사부터 발사대 설비 설계·제작, 발사대 시스템 전반의 운영 지원까지 도맡았습니다. 현장 발사대팀은..."
2023.06.03.,[르포] 선박용 프로펠러 3주 만에 ‘뚝딱’…울산 조선산업의 사이드킥은 ‘3...,이곳 센터에서 만들어지는 선박 부품은 울산에 조선소가 있는 HD현대중공업이 사용한다. 조선 산업은 선박 제조 시 자재비가 원가의 70%를 차지한다. 특히 그동안 선박을 설계할 때 부품을 주문한 후 자재의 원가가 결정되는 등 자재 가격 변동성으로 인한 적자가 불가피했다. 심지어 제조 품질을 예측할 수...
2023.06.04.,"HD현대중공업, 마덱스서 '차세대 한국형 구축함' 공개","HD현대중공업은 오는 7일부터 9일까지 부산 벡스코에서 열리는 국제해양방위산업전(MADEX 2023)에서 현재 연구 개발 중인 차세대 함정 모형을 최초로 공개한다고 4일 밝혔다. 이번에 공개하는 함정은 HD현대중공업이 자체 개발 중인 차세대 한국형 구축함(KDDX)과 무인전력지휘통제함, 기존 모델에서 한층..."
2023.06.04.,"HD현대중공업, 호위함 입찰 앞두고 차세대 함정 모형 최초 공개",HD현대중공업은 현재 개발 중인 차세대 함정 모형을 7일 부산 벡스코에서 개막(9일 폐막)하는 ‘국제해양방위산업전(MADEX) 2023’에서 최초로 공개한다고 4일 밝혔다. 국제해양방위산업전은 각국의 최신 방위산업제품이 전시되는 행사다. 이달 말 방위사업청의 차세대 호위함 입찰을 앞두고...
2023.06.04.,'HD현대중공업가족 초대작품展' 개막,'HD현대중공업가족 초대작품展'이 지난 2일 현대예술관 미술관 로비에서 열린 가운데 현대중공업 임직원들이 기념촬영을 하고 있다. 'HD현대중공업가족 초대작품展'이 지난 2일 현대예술관 미술관 로비에서 열렸다. 이날 행사에는 HD현대중공업 상생·문화 부문장 최헌 전무 및 현대일렉트릭 김인태 기원을...
2023.06.04.,"HD현대重, 마덱스 2023서 차세대 함정 모형 최초 공개",‘차세대 한국형 구축함(KDDX)’ 비롯해 무인전력지휘통제함·한국형 항함 모형도 수출용 원해경비함(OPV) 개발…해외시장 공략 HD현대중공업이 세계 최고 조선기술로 ‘K-방산’의 명성을 바다로 확장한다. HD현대중공업은 오는 7일부터 9일까지 부산 벡스코에서 개최되는 ‘국제해양방위산업전(MADEX...
2023.06.04.,'HD현대중공업가족 초대작품전' 개막,'HD현대중공업가족 초대작품전'이 지난 2일 현대예술관 미술관 로비에서 개막됐다. 이날 행사에는 HD현대중공업 상생·문화 부문장 최 헌 전무와 현대일렉트릭 김인태 기원을 비롯한 임직원 출품 작가 40여명이 참석했다. 전시는 7월9일까지 열린다.
2023.06.04.,"HD현대重, 'K방산의 명성' 바다로 확장한다…차세대 함정 모형 공개",HD현대중공업이 세계 최고 조선기술로 ‘K-방산’의 명성을 바다로 확장한다. HD현대중공업은 7일부터 9일까지 부산 벡스코에서 개최되는 국제해양방위산업전(MADEX 2023)에 참가해 연구개발 중인 차세대 함정의 모형을 최초로 공개한다고 4일 밝혔다. 이번 전시회에서 공개되는 함정은 HD현대중공업이...
2023.06.04.,"현대중공업, 대구 영남공고 학교발전기금 2000만원 기탁","조선·대형엔진 부문 세계 1위 기업인 ‘HD현대중공업’ 은 2019년 전국기능경기대회 철골구조물제작 분야에서 금메달을 획득한 김성수 씨를 특별 채용했다. 김 씨는 졸업 이후에도 HD 현대중공업에서 실력을 키워왔으며, 미국에서 열린 2022 국제기능올림픽에서 대구지역 직업계고 출신 최초로 금메달을..."
2023.06.04.,"HD현대重, 차세대 함정 모형 공개···“방산 해외수출 선도적 역할”",HD현대중공업이 세계 최고 조선기술로 ‘K-방산’의 명성을 바다로 확장한다. HD현대중공업은 7일부터 9일까지 부산 벡스코에서 개최되는 국제해양방위산업전(MADEX 2023)에 참가해 연구개발 중인 차세대 함정의 모형을 최초로 선보인다고 4일 밝혔다. 주원호 HD현대중공업 특수선사업부 본부장은...
2023.06.04.,"현대삼호重·고용노동부, 협력사 위험성평가 인정사업 추진","HD현대 계열사인 현대삼호중공업이 정부기관과 손잡고 협력사 안전사고 예방 및 무재해 작업장 조성에 팔을 걷어붙였다. 현대삼호중공업은 고용노동부, 안전보건공단과 함께 오는 10월까지 협력사 43개사(사내협력사 13개·사외협력사 30개)를 대상으로 위험성평가 인정사업을 진행한다고 4일 밝혔다...."
2023.06.04.,"현대삼호重·고용노동부, 협력사 위험성평가 인정사업 추진","HD현대 계열사인 현대삼호중공업은 고용노동부, 안전보건공단과 공동으로 오는 10월까지 협력사 43개사(사내협력사 13개·사외협력사 30개)를 대상으로 위험성평가 인정사업을 진행한다고 4일 밝혔다. 위험성평가는 사업장 내 유해 및 위험요인을 스스로 파악해 개선대책을 수립·이행하는 제도다. 이번..."
2023.06.05.,"HD현대중공업 vs 한화오션, MADEX 2023서 방산 기술력 경쟁",HD현대중공업 차세대 한국형 구축함·한국형 항공모함 모형 공개 한화오션도 한국형구축함 ·합동화력함 등 최신기술 소개 세계적으로 우수한 방산 기술력을 가진 HD현대중공업과 한화오션이 부산에서 열린 제13회 국제해양방위산업전(MADEX 2023)에서 최신예 함정 기술력을 선보이며 홍보 경쟁에 돌입할...
2023.06.05.,"한화그룹-HD현대중공업그룹, MADEX 2023 참가",해군ㆍ부산광역시ㆍ한국무역협회ㆍ해군발전협회가 7일부터 사흘간 부산 벡스코(BEXCO)에서 공동개최하는 '국제해양방위산업전(MADEX) 2023'에 한화그룹과 HD현대중공업이 나란히 참가한다. 한화그룹은 육ㆍ해ㆍ공 종합 방산기업으로의 도약을 선포하며 한화오션을 인수한 가운데 이번 전시회에서 4종의...
2023.06.05.,현대삼호중공업·고용노동부 '협력사 위험성평가' 인정사업 추진,"HD현대 계열사인 현대삼호중공업이 정부기관과 손잡고 협력사 안전사고 예방 및 무재해 작업장 조성에 나섰다. 현대삼호중공업은 고용노동부, 안전보건공단과 공동으로 오는 10월까지 협력사 43개사(사내협력사 13개·사외협력사 30개)를 대상으로 위험성평가 인정사업을 진행한다고 5일 밝혔다. 위험성평가는..."
2023.06.05.,"[오늘의 주목주] '항모 공개' HD현대중공업 6%대 상승, 알테오젠 7%대 하락",5일 코스피 시가총액 상위 30개 종목 가운데 HD현대중공업 주가가 종가 기준으로 가장 크게 움직였다. HD현대중공업은 직전 거래일보다 6.30%(7400원) 오른 12만4800원에 거래를 마쳤다. 주가는 직전 거래일보다 1.70%(2천 원) 높은 11만9400원에 출발해 지속적으로 상승폭을 키웠다. 거래량은 38만9280주로...
2023.06.05.,"HD한국조선해양, 올해 수주 목표 74% 달성…삼성重·한화오션은","5일 조선업계에 따르면 HD한국조선해양 산하 조선 3사(HD현대중공업·현대미포조선·현대삼호중공업)는 현재까지 올해 총 93척, 114억2000만달러(약 15조1000억원)를 수주했다. 이는 연간 수주 목표(157억4000만달러)의 73%에 해당하는 규모다. HD현대중공업은 올해 누적 수주 40억1000만달러(약 5조3000억원)..."
2023.06.05.,"HD현대중공업, 영남공고에 학교발전기금 2천만 원 기탁","지난달 25일 HD현대중공업이 영남공고에 학교발전기금을 기탁한 후 관계자들이 기념촬영을 하고 있다. (사진=대구교육청 제공) 영남공업고등학교는 지난달 25일 HD현대중공업이 산학협력을 통해 이룬 김성수(67회, 2021년 졸업)군의 2022년 국제기능올림픽 금메달 수상을 기념해 학교발전기금 2000만 원을..."
2023.06.05.,"한화오션 해양방위 전시회에서 수상함 4종 공개, HD현대와 기술 경쟁","이번 국제해양방위산업전에는 한화오션의 수상함 분야 경쟁사 HD현대중공업도 참가하는 만큼 '수상함 명가'로서 자존심을 건 기술력 경쟁도 치열하게 펼쳐질 것으로 보인다. HD현대중공업은 차세대 한국형 구축함(KDDX)과 무인전력지휘통제함, 한국형 항공모함, 수출용 원해경비함(OPV) 등을 공개한다."
2023.06.05.,현대중공업 하청노조 “안전한 일터는 고용부-현대重 짜고 치는 연극”,▲ 현대중공업 사고성 일일재해 건수 (사진=전국금속노동조합 현대중공업사내하청지회 노보 677호 발췌) 올해 3월과 4월 HD현대중공업 내에서 발생한 사고성 일일재해 건수가 지난해 같은 기간에 비해 늘어났다는 노동조합 측의 주장이 제기됐다. 금속노조 현대중공업사내하청지회는 최근 지회소식지를 통해...
2023.06.05.,"[특징주]HD현대 인프라코어‧건설기계, 조선업 실적 개선에 강세","주요 계열사인 HD현대중공업이 국내외에서 수주 실적을 확대함에 따라 그룹사와 계열사들의 수혜를 기대한 투자자들이 몰린 결과로 풀이된다. 그룹사인 HD현대는 지난해 연결기준 매출액 60조8497억원과 영업이익 3조3870억원을 기록했다. 매출은 전년 대비 114.6%, 영업이익은 226.7% 증가했다. 오는..."
2023.06.06.,한화오션·HD현대중공업 ‘부산海戰’ 격돌 [biz-플러스],방산 분야 라이벌 한화오션과 HD현대중공업(329180)이 부산에서 맞붙는다. 양사는 오는 7일부터 부산 벡스코에서 열리는 제 13회 국제해양방위산업전(MADEX 2023)에 참가해 서로 맞은 편에 가장 큰 전시관을 마련하고 최신 함정 기술을 공개한다. 한화오션은 총 4종의 수상함을 전시한다. 전시관에서는 울산급...
2023.06.06.,"HD현대중공업, 차세대 함정 모형 최초 공개",HD현대중공업이 내일(7)부터 9일까지 부산 벡스코에서 열리는 국제해양방위산업전에서 현재 개발 중인 차세대 함정 모형을 최초로 공개합니다. HD현대중공업은 이번 전시회에서 차세대한국형 구축함과 함께 무인 전력 지휘 통제함 콘셉트 모델과 한국형 항공모함 등을 선보입니다. HD현대중공업은...
2023.06.06.,두산에너빌리티·HD현대중공업 등 외국인 순매수 활발…기술력 지수 '적정',"지난 5일 장마감을 기준으로 두산에너빌리티, LG에너지솔루션, HD현대중공업 등의 종목이 외국인 순매수 거래가 활발했던 것으로 집계됐다. 텐배거퀀트 5대 기술지표에 따르면 두산에너빌리티의 기술투자지수는 75.3, 기술력점수(TSS)는 1,441.5, 기업가치추정은 적정으로 나타났다. LG에너지솔루션의..."
2023.06.06.,현대삼호중·노동부 '협력사 위험성평가' 인정사업 추진,"HD현대 계열사인 현대삼호중공업이 정부기관과 손잡고 협력사 안전사고 예방 및 무재해 작업장 조성에 나섰다. 현대삼호중공업은 고용노동부, 안전보건공단과 공동으로 오는 10월까지 협력사 43개사(사내협력사 13개·사외협력사 30개)를 대상으로 위험성평가 인정사업을 진행한다고 6일 밝혔다. 위험성평가는..."
2023.06.06.,"(6/6 수) HD현대중 노사, 협력사 처우개선 두고 교섭 입장차",HD현대중공업 노사가 지난달 16일 올해 임금협상 교섭에 들어간 가운데 협력사 처우개선을 두고 의견차이를 보이고 있는 것으로 알려졌습니다. 교섭안에 포함된 하청노동자 여름휴가 5일 유급보장에 대해 노조는 인력 이탈을 막기 위해 열악한 처우에 대한 개선이 필요하다고 주장하고 있습니다. 이에대해...
