날짜,제목,내용
2023.06.05.,대한항공이 아시아나랑 합병하면 비싸지고 나쁜 거 아냐?,"대한항공과 아시아나항공 합병 소식이 나오면서 소비자들의 우려도 따른다. 독과점에 따른 항공료 인상과 서비스 질 하락, 슬롯(특정 시간대 이착률할 수 있는 권리) 감소 등이 주된 내용이다. 그러나 공정거래위원회의 운임 인상 제한과 서비스 품질 유지 조치, 경쟁환경 조성 등을 감안하면 소비자들에게..."
2023.06.05.,"조원태 한진그룹 회장, 'ATW 2023년 올해의 항공업계 리더십상' 수상","-2021년 올해의 항공사상, 2022년 올해의 화물항공사상에 이은 3년 연속 5일 대한항공에 따르면 조원태 한진그룹 회장이 지난 2일(현지시각) 튀르키예 이스탄불 그랜드 제바히르 호텔에서 열린 에어 트랜스포트 월드(ATW) 시상식에서 '2023년 올해의 항공업계 리더십' 상을 수상했다. 조 회장의 이번 수상은..."
2023.06.05.,외국계 항공사 한국행 항공편 증편 '대한항공·아시아나 합병 과정 운수권 노...,유럽계 항공사는 대한항공(003490)과 아시아나항공(020560)의 기업결합 과정에서 나올 슬롯이나 운수권을 노리고 운항편을 늘렸다는 분석도 나온다. 운항편수 증가는 중국계 항공사가 주도한 것으로 보인다. 올해 1월 31편에 그쳤던 중국동방항공의 운항편수는 지난 4월 205편으로 급증했다. 2023.6.5/뉴스1
2023.06.05.,“청바지 유니폼이 필통으로”…업사이클링에 푹 빠진 항공업계,"진에어, 환경의날 기념해 국내 항공편 대상 이벤트 대한항공·아시아나 등도 골프볼마커 등 제작 활발 국내 항공업계에 업사이클링(재활용) 바람이 불고 있다. 업사이클링을 통해 ESG(Environment·Social·Governance, 환경·책임·투명경영) 지평을 넓히기 위해서다. 5일 항공업계에 따르면 진에어는 환경의 날을..."
2023.06.05.,대한항공 안전성 B등급으로 하락,"대한항공(사진)이 미주노선 운항 한국 국적기 가운데 안전성 평가에서 최하위를 기록했다. 한국 국토교통부가 최근 발표한 ‘2022년 항공교통서비스 평가’ 안전성 항목에서 전년도 A등급을 받았던 대한항공이 B*(우수)등급으로 하락한 것. 아시아나항공은 A**(매우 우수), 에어프레미아도 A*(매우 우수)..."
2023.06.05.,"""항공도 환경이 대세""…항공업계, ESG 경영 강화",(맨 위부터 왼쪽 하단으로) 대한항공·진에어·에어부산 ESG 경영 사례 (사진=각 사) 5일 항공업계에 따르면 대형 항공사들과 저비용항공사들이 항공 폐기물로 업사이클링 제품을 선보이거나 소비자와 함께하는 ESG 경영을 실천하고 있다. 친환경 소비에 대한 소비자 관심이 높아지자 국내 항공사들이 ESG 경영을...
2023.06.05.,"김의장, 복수국적 허용연령 하향 건의에 ""결단 내릴 때 됐다""","이날 간담회에는 헝가리 교민들을 비롯해 삼성전자와 LG전자, 삼성SDI, SK온, LG화학, 대한항공 등 헝가리에서 활동하는 기업인들도 참여했다. 김 의장은 헝가리 내 인재 수급 어려움을 호소하는 기업들에 대해 ""기업은 결국 얼마나 좋은 엔지니어를 가지고 있느냐가 중요하다""라며 ""삼성은 과거에 국내에서..."
2023.06.05.,통합LCC 본사 유치? 에어부산 분리 매각?,"[리포트] 대한항공과 아시아나 항공이 계획대로 통합되면, 대한항공 계열 저비용 항공사인 진에어와 아시아나 계열 에어부산과 에어서울도 자연스럽게 통합됩니다. 항공기 21대를 가진 에어부산보다 3배 규모의 항공기를 가진 통합 저비용 항공사, 즉, 통합 LCC가 탄생합니다. 부산시는 이 통합LCC의 본사를..."
2023.06.06.,"조원태 ""무얼 포기하든 대한항공·아시아나 합병 성사시킬 것""","블룸버그TV 인터뷰…""100% 걸었다…온 힘 다해 추진"" 조원태 한진그룹 회장이 대한항공과 아시아나항공의 합병 성사를 위해 관련국 규제 당국에 상당히 양보할 의사가 있음을 나타냈다. 조 회장은 5일(현지시간) 튀르키예 이스탄불에서 열린 국제항공운송협회(IATA) 연례 총회를 계기로 가진 블룸버그TV와..."
2023.06.06.,"軍 벽 허문 대한항공 1기 파일럿, 35년 꿈에서 깨다[금준혁의 온에어]","대한항공이 출범 20년만에 민간인 조종사 양성에 나선 것이다. 전국 각지에서 모인 2500명의 민간인 중 45명을 선발해 제주 비행훈련원에서 KAL(대한항공의 약칭)맨을 키웠다. 대한항공 1기이자 대한민국 1호 민간 출신 조종사들이다. ◇35년 KAL맨 이문재 기장…""천운 따른 내 삶"" 지난 5월24일 대한항공 서소문..."
