날짜,제목,내용
2023.06.02.,"알칸타라의 압도적 피칭…두산, KT에 10-1 완승",두산은 2일 수원 KT 위즈파크에서 열린 2023 신한은행 쏠 KBO리그 KT 위즈와 경기에서 10-1 대승을 거뒀다. 2연승을 이은 4위 두산의 시즌 성적은 24승1무22패가 됐다. 최하위 KT는 4연패에 빠져 시즌 30패(16승2무)째를 당했다. 알칸타라가 흠잡을 데 없는 피칭으로 승리에 앞장섰다. 알칸타라는 7이닝 7탈삼진...
2023.06.02.,"KT, AI 축제 분석 서비스 선봬…인파 측정","""이태원 참사 경각심 반영"" 축제 준비·운영·성과 분석 KT가 인공지능(AI)과 빅데이터 기술을 활용해 축제 정보를 분석하는 서비스를 내놨다. KT는 코로나19 엔데믹(감염병의 풍토병화)과 여름철을 맞아 지역 축제가 활성화함에 따라 ‘문화축제 빅데이터 서비스’를 2일 출시했다고 밝혔다. 해당 서비스는..."
2023.06.02.,[MD포토] 이호연 'KT 6번 타자',KT 이호연이 2일 오후 경기도 수원 KT위즈파크에서 진행된 '2023 신한은행 SOL KBO리그' 두산 베어스와 KT 위즈의 경기 2회말 1사 후 타격하고 있다.
2023.06.02.,[사진]역투하는 KT 선발투수 배제성,2일 오후 경기도 수원 KT위즈파크에서 ‘2023 신한은행 SOL KBO리그’ KT 위즈와 두산 베어스의 경기가 열렸다. 1회 초 KT 선발투수 배제성이 힘차게 공을 뿌리고 있다. 2023.06.02
2023.06.02.,"'알칸타라 6승' 두산, KT에 대승…SSG 1위 탈환(종합)",두산은 2일 수원 KT 위즈파크에서 열린 2023 신한은행 쏠 KBO리그 KT 위즈와 경기에서 10-1 대승을 거뒀다. 2연승을 이은 4위 두산의 시즌 성적은 24승1무22패가 됐다. 최하위 KT는 4연패에 빠져 시즌 30패(16승2무)째를 당했다. 알칸타라가 흠잡을 데 없는 피칭으로 승리에 앞장섰다. 알칸타라는 7이닝 7탈삼진...
2023.06.02.,"KT그룹 '밀리의 서재', IPO 재도전","뉴스토마토 = 이지은 기자 | 지난 2021년 KT그룹으로 편입된 독서 플랫폼 밀리의 서재가 기업공개(IPO) 절차에 돌입합니다. 밀리의 서재는 지난 1일... 2021년 9월에는 KT그룹 산하 지니뮤직(043610)에 인수됐고, KT미디어 밸류 체인 아래 KT미디어 계열사들과 전방위적 협업을 진행하고 있습니다. 앞으로 밀리의..."
2023.06.02.,"3G 연속 3안타·구원진은 와르르…KT, 어느덧 또 4연패",모처럼 상승세를 타는 듯하던 KT 위즈가 다시 4연패 수렁에 빠졌다. KT는 2일 수원 KT 위즈파크에서 열린 두산 베어스와 홈경기에서 1-10 대패를 당했다. 최하위에 머물고 있는 KT의 시즌 성적은 16승2무30패가 됐다. 또 다시 연패다. 이날 패배로 KT의 연패는 '4'로 늘었다. 잠시 찾아들었던 상승세의 기운은...
2023.06.03.,"프로야구 최하위 kt, 1군 5명 말소…황재균 28일 만에 복귀","4연패에 빠진 프로야구 최하위 kt wiz가 하루에 1군 선수 5명을 2군으로 내려보내는 특단의 조처를 했다. kt는 3일 수원케이티위즈파크에서 열리는 2023 프로야구 두산 베어스와 홈 경기를 앞두고 내야수 오윤석, 외야수 이시원, 홍현빈, 투수 이채호, 김정운을 1군에서 뺐다. 대신 내야수 황재균과 투수..."
2023.06.03.,"'강백호 4타점' KT, 두산에 13-3 대승…4연패 탈출",프로야구 최하위 KT 위즈가 4연패에서 벗어났다. KT는 3일 수원 KT위즈파크에서 열린 2023 신한은행 SOL KBO 리그 두산 베어스와의 홈경기에서 13-3으로 이겼다. 이로써 KT는 17승 2무 30패로 4연패에서 탈출했다. 반면 두산은 24승 1무 23패를 기록했다. KT가 2회말 선취점을 챙겼다. 장성우-황재균의 내야안타...
2023.06.03.,"엔트리 대거 변경 그 후…KT, 대패 뒤 대승으로 4연패 탈출[스경X현장]",타선이 폭발한 KT가 전날 대패의 아픔을 두산에 그대로 갚았다. KT는 3일 수원구장에서 열린 두산과의 홈경기에서 장단 17안타로 상대 마운드를 두들겨 13-3으로 승리했다. 전날 1-10으로 패했던 KT는 이날 승리로 지난달 28일 대구 경기부터 이어진 4연패 사슬을 끊는데 성공했다. 이날 이강철 KT 감독은 1군...
