날짜,제목,내용
2023.06.02.,"SK텔레콤 오픈 2023, 'AI 최경주' 등장… 원포인트 레슨도",(사진=SKT 제공) KPGA 코리안투어 SK텔레콤오픈 2023에 다양한 AI 기반 첨단 미디어 기술이 대거 도입된다. SK텔레콤은 16일 이번에 개최되는 'SK텔레콤 오픈 2023'에 다양한 인공지능(AI) 기반 첨단 미디어 기술을 적용했다고 밝혔다. 오는 18일부터 나흘간 제주도의 핀크스 골프클럽에서 열리는 이번...
2023.06.02.,5G 중간요금제 vs 알뜰폰 '0원' 프로모션…1차전은 알뜰폰 '승',"SK텔레콤, KT, LG유플러스 등 이동통신3사가 지난달 5G 중간요금제를 내며 소비자 선택권을 늘렸지만 알뜰폰에 회원 약 7만6000명을 뺏긴 것으로 나타났다. 알뜰폰 업계가 같은 시기에 일부 LTE 요금제 가격을 특정 기간 '0원'으로 책정하는 프로모션을 펼쳤기 때문으로 보인다. 2일..."
2023.06.02.,"""KT는 2년 전에 상용화했는데""…SKT·LGU+ '5G 단독모드' 안하는 이유 [IT돋보...","NSA에 비해 한 단계 진화한 기술 방식으로 평가되지만 SK텔레콤과 LG유플러스는 아직 5G SA 상용화를 시작하지 않아 배경이 주목된다. 2일 SK텔레콤과 LG유플러스 측은 5G SA 상용화 계획 여부를 묻는 질의에 ""상용화를 위한 SA 개발은 완료된 상태""라고 한 목소리로 답했다. 단말 업그레이드 등을 통해..."
2023.06.02.,금리 주춤·주담대 확대에 은행 가계대출 17개월 만에 증가 전환 [한강로 경제...,"하나금융그룹 제공 하나금융그룹은 이날 미래에셋증권, SK텔레콤과 손잡고 토큰증권 컨소시엄인 ‘넥스트 파이낸스 이니셔티브(NFI)’를 구축했다고 밝혔다. 이들은 토큰증권 사업에 필요한 분산원장(블록체인 네트워크) 체계를 함께 구축하고 양질의 토큰증권 발행, 혁신 서비스 발굴, 투자자 보호 체계와..."
2023.06.02.,“데이터 늘리고 부가혜택 강화” 통신3사 청년요금제 출시,SK텔레콤은 지난 1일 가장 먼저 ‘0 청년요금제’를 내놨다. 통신 3사 중 유일하게 30대(만 34세 이하)도 가입이 가능하다. 이 요금제는 데이터 제공량을 기존 5G 일반 요금제 대비 20%~50% 더 확대한 것이 주요 골자다. 이에 따른 데이터 최대 추가 제공량은 50GB다. 로밍 요금은 반값에 이용할 수 있다. SKT...
2023.06.03.,"SKT, 지자체와 탄소배출 절감 협력","SK텔레콤이 고효율 LED 조명 도입 및 스마트 관제시스템 적용을 통한 지자체의 전력 사용량과 온실가스 배출량 감축 실적을 기반으로 탄소배출권 환경부 공식 인증을 추진한다. SK텔레콤과 경기도 화성시, 전남 순천시는 '온실가스 배출권거래제 외부사업' 추진을 위한 협약을 체결했다고 2일 밝혔다. 이번..."
2023.06.03.,아는 만큼 할인 받는다…태국·일본서 통신사 할인?,"SK텔레콤이 다음 달 1일부터 제휴 할인을 제공하는 서비스를 전 세계 9개 지역, 1만8천여 개 제휴처로 확대합니다. 오늘(3일) 업계에 따르면, SK텔레콤은 SK텔레콤 가입자를 대상으로 다음 달 1일부터 맛집·호텔∙교통∙쇼핑∙액티비티 등 제휴 할인을 제공하는 글로벌여행 서비스를 9개 지역, 1만8천여 개..."
2023.06.03.,skt 0청년 요금제 출시... 만 34세 이하 대상,"사진 = skt 요금제 홈페이지 SK텔레콤이 만 34세 이하 고객 대상 '0 청년 요금제'를 선보이고, 청년 세대를 위한 혜택을 강화한다고 밝혔다. SKT가 6월 1일 출시하는 '0(영) 청년 요금제'는 이통3사 중 가장 먼저 선보이는 청년 세대 요금으로, 유일하게 30대(만 34세 이하)까지 가입 가능한 5G 요금제다. 특히..."
2023.06.03.,"최혜진, KLPGA 11번째 우승 눈앞…롯데오픈 3R 3타 차 선두",가장 마지막 우승은 2020년 11월 15일 SK텔레콤·ADT캡스 챔피언십 대회에서 맛봤다. 작년부터 미국여자프로골프(LPGA) 투어로 무대를 옮긴 최혜진은 지난달 29일 끝난 E1 채리티 오픈부터 KLPGA 투어 대회를 소화하고 있다. E1 채리티 오픈을 공동 7위로 마쳤던 최혜진은 두 번째 국내 대회에서 적응을...
2023.06.03.,"4타 줄인 김시우, PGA 메모리얼 토너먼트 2R 공동 5위 도약",이경훈(32·CJ대한통운)과 최경주(53·SK텔레콤)는 나란히 컷 탈락했다. 이날 6타를 줄인 저스틴 서는 합계 8언더파 136타로 리더보드 최상단을 차지했다. 2019년 프로에 데뷔한 저스틴 서는 아직 PGA 투어 우승 경험이 없다. 올 시즌 '톱 10'에 2차례 올랐던 선수로 2월 혼다 클래식 공동 5위가 종전 최고...
2023.06.03.,남부발전·행안부 등 15개 기관 손잡고 ‘정부세종청사내 일회용컵 제로화’ ...,"남부발전은 지난 1일 정부세종청사 중앙동에서 행정안전부, 환경부, 남부발전, 우정사업본부, SK텔레콤 등 총 15개 기관 공동으로 ‘정부청사 커피전문점, 1회용품 제로 2027 비전 선포’ 기념식을 개최했다고 3일 밝혔다. 15개 기관은 행정안전부, 환경부, 한국남부발전, 우정사업본부, 우체국공익재단, 농협은행..."
2023.06.03.,(이슈&이슈)중간배당으로만 5% 수익률 잡아라,"SK텔레콤은 분기배당을 하고 있어 차이가 있습니다. 상반기 배당금으로 기준을 삼는다면 LG유플러스보다 수익률이 높겠지만, 지금 매수해서 지급받게 될 6월 배당금만 본다면 LG유플러스가 나은 셈입니다. 선택은 투자자가 얼마나 오랫동안 보유할 것이냐에 따라 달라져야 합니다. 2% 남짓한 배당수익률만..."
2023.06.03.,[증권사 STO 연합 돋보기②] 증권업계 합종연횡 '가속',"(사진=미래에셋증권)/그린포스트코리아 ◆미래에셋, SK텔레콤 이어 하나금융과 맞손…핵심 사업자 '똘똘' 미래에셋증권이 SK텔레콤과 손잡고 출범한 토큰증권 컨소시엄 '넥스트파이낸스 이니셔티브(Next Finance Initiative, NFI)'에 하나금융그룹이 새롭게 참여한다. 하나은행과는 블록체인 활용 서비스 상용화..."
2023.06.03.,“한국은 안될거야” vs “잭팟 터진다”…미래산업 향한 두가지 시선 [나기자...,이들 3사는 각각 네이버 KT 그리고 SK텔레콤 등 국내 IT대기업들의 투자를 받기도 했죠. 그렇다면 국내 AI반도체 회사는 어떤 경쟁력이 있을까요? 비관론과 낙관론 등을 종합해 이번 연재기획을 해보겠습니다. “엔비디아란 거대한 장벽을 뚫긴 힘들거다” 이종호 과기정통부 장관이 지난해 5월 취임 이후...
2023.06.04.,"SK텔레콤, 호국보훈의 달 맞아 국군 장병에게 특화 혜택 제공",SK텔레콤이 정전협정·한미동맹 70주년과 6월 호국보훈의 달을 맞아 국군 장병들에게 요금제 가입 절차를 간소화 등 특화 혜택을 선보인다고 4일 밝혔다. 사진은 군인 신분 인증 앱 '밀리패스'와 제휴를 맺고 군인 고객을 위한 다양한 혜택을 제공하는 앱을 보는 모습. 2023.6.4 [SKT 제공. 재판매 및 DB 금지]
