날짜,제목,내용
2023.06.02.,"[패션·뷰티 투데이] 아모레 스킨유, 신세경 앞세워 신제품 선봬 外","◇스킨유, 신제품 출시하고 모델 신세경과 캠페인 전개 아모레퍼시픽은 자사 바디 케어 브랜드 스킨유(SKIN U)가 이노센트 라인의 샤워젤과 스크럽 신제품을 출시하고 브랜드 모델 신세경과 광고 캠페인을 전개한다고 밝혔다. 이번에 선보이는 스킨유 샤워젤 2종(선셋 오랑쥬, 오드 플로럴)은 여름에..."
2023.06.02.,화장품 대장주 교체 위기? 'OEM·중견주 주도',최근 화장품 투자자들은 기존의 아모레퍼시픽이나 LG생활건강 등 대장주에 대한 관심이 낮아진 반면 OEM이나 중견 종목에 집중하는 경향이 나타나고 있다. 지난해까지만 해도 아모레퍼시픽이나 LG생활건강이 투자자들의 관심을 집중시키고 전반적인 주가 상승과 하락에 높은 영향력을 행사했다. 그러나...
2023.06.02.,"LG생활건강, 창사 이래 첫 희망퇴직 실시","지난해 LG생활건강 매출은 7조5168억원으로 전년 대비 4.6% 증가했지만, 같은 기간 영업이익은 1조2896억원에서 7111억원으로 44.8% 감소했다. 앞서 코로나 여파로 실적 부진을 겪은 아모레퍼시픽(090430)도 2020년 창사 이래 처음으로 근속 만 15년 차 임직원을 대상으로 희망퇴직을 실시했다."
2023.06.02.,“여름은 노출의 계절” 다이어트 기능식품 판매 70% 폭증,그 중에서도 인기가 많은 슬리밍 제품을 살펴보면 아모레퍼시픽에서 만든 체중관리용 건강기능식품인 바이탈 뷰티 메타그린 슬림업과 ‘신봉선 다이어트’로 잘 알려진 건기식인 콜레올로지 등을 꼽을 수 있다. 식사 후 체지방 관리를 위해 먹는 제품인 메타그린 슬림업의 경우 1초에 3정씩 팔린다는 말이...
2023.06.02.,"[A 유통가 소식] 유니클로, 일주일간 '유니클로 여름 감사제' 진행 外","사진=아모레퍼시픽 ◇스킨유, 모델 신세경과 캠페인 전개=아모레퍼시픽 바디 케어 브랜드 스킨유(SKIN U)가 이노센트 라인의 샤워젤과 스크럽 신제품을 출시하고 브랜드 모델 신세경과 광고 캠페인을 전개한다. 이번에 선보이는 스킨유 샤워젤 2종(선셋 오랑쥬, 오드 플로럴)은 여름에 어울리는 시트러스..."
2023.06.02.,"스킨유, 샤워젤·스크럽 신제품 선봬…스킨푸드, 캐릭터 머핀앤너츠와 협업 패...","스킨유 모델 신세경과 신제품 ⓒ사진 제공=아모레퍼시픽 스킨유, 신제품 출시하고 신세경과 캠페인 전개 아모레퍼시픽 바디 케어 브랜드 스킨유(SKIN U)는 샤워젤과 스크럽 신제품을 출시하고 브랜드 모델 신세경과 광고 캠페인을 전개한다고 2일 밝혔다. 이번에 선보이는 스킨유 샤워젤 2종(선셋 오랑쥬, 오드..."
2023.06.03.,[브리프] 아모레퍼시픽 LG생활건강 이랜드 LF 무신사,"■ 아모레퍼시픽, '메타그린 슬림업 X 마이멜로디' 두 번째 에디션 출처=아모레퍼시픽 아모레퍼시픽 대표 이너뷰티 브랜드 바이탈뷰티가 60일분 구성의 '메타그린 슬림업 X 마이멜로디' 두 번째 에디션을 선보인다. 지난 5월 1일 출시한 '메타그린 슬림업 X 마이멜로디' 첫 번째 에디션은 출시와 동시에..."
2023.06.03.,"[Daily Pick유통] 삼립, 11번가, 아모레퍼시픽, 풀무원, 위메프 外","아모레퍼시픽 스킨유, '샤워젤', '스크럽' 아모레퍼시픽의 바디 케어 브랜드 스킨유가 이노센트 라인의 샤워젤과 스크럽 신제품을 출시한다. 사진=아모레퍼시픽 아모레퍼시픽의 바디 케어 브랜드 스킨유가 이노센트 라인의 샤워젤과 스크럽 신제품을 출시한다. 스킨유 샤워젤 2종 '선셋 오랑쥬', '오드 플로럴..."
2023.06.03.,[코스피 공매도 잔고비중 TOP5] 롯데관광개발·후성·두산퓨얼셀·OCI홀딩스·...,"지난달 31일 기준 코스피시장에서 공매도 잔고 비중이 높은 5개 종목은 롯데관광개발, 후성, 두산퓨얼셀, OCI홀딩스, 아모레퍼시픽 등으로 나타났다. 한국거래소에 따르면 지난달 31일 기준 공매도 잔고비중은 롯데관광개발 9.48%, 후성 5.65%, 두산퓨얼셀 5.18%, OCI홀딩스 4.69%, 아모레퍼시픽 4.28..."
2023.06.03.,[#유통365] AI가 골라준 아모레 '맞춤형 화장품',아모레퍼시픽 용산 본사에 설치된 톤워크 부스. / 사진=한다원 기자 아모레퍼시픽이 맞춤형 메이크업 전문 브랜드 '톤워크(TONEWORK)'를 출시했다. 인공지능(AI) 기술을 기반으로 각자 피부 색상에 최적화된 베이스 메이크업 제품을 총 600가지 옵션으로 만나볼 수 있다. 보통 한국 사람들은 본인의 호수를 '21호...
2023.06.03.,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천","아모레퍼시픽(090430) 1분기 매출액 9137억원(YoY -22%), 영업이익 644억원(YoY -59%). 면세와 중국, 주요 채널이 YoY -50% 내외 대폭 축소. 투자 포인트 : 2분기 이익 하향이 불가피하나 매출 기준 개선은 긍정적. 목표주가 16만원과 투자의견 매수 신규 개시. F&F(383220) 1분기 매출액 4974억원(YoY +14%), 영업이익..."
2023.06.03.,[신상NEWS] 풀무원녹즙 ‘핏러브 엑스투’…간편하게 건강 챙긴다,"농심은 기능성 저분자콜라겐펩타이드NS의 1일 권장량을 섭취할 수 있는 ‘라이필 탱탱 콜라겐 젤리스틱’를 내놓았고, 아모레퍼시픽의 바이탈뷰티는 체지방 관리를 위한 ‘메타그린 슬림업 X 마이멜로디’의 두 번째 에디션을 선보였다. ■ 풀무원녹즙, 융복합 건강기능식품 ‘핏러브 엑스투’ 출시..."
2023.06.03.,"오퀴즈 '아토베리어', 오후 1시 정답은?","이넷뉴스 = 오퀴즈가 아모레퍼시픽의 '에스트라 아토베리어' 관련 퀴즈를 3일 오후14시 출제해 관심이 커지고 있다. 퀴즈는 ""피부 ㅈㅂ을 강화하는""이다. 'ㅈㅂ'이 초성힌트다. 정답은 '장벽'이다. 한편, 지난 2일 아모레퍼시픽 프리미엄 바디 케어 브랜드 스킨유(SKIN U)는 이노센트 라인의 샤워젤과 스크럽..."
2023.06.03.,"[분석] 화장품사 1분기 평균 매출총이익 361억, 전년비 3.4%↓","이어 2위 아모레퍼시픽그룹(7016억원), 3위 한국콜마(1168억원), 4위 에이피알(907억원), 5위 애경산업(731억원) 순이었다.6~10위에는 코스맥스(555억원), 휴젤(501억원), 에이블씨엔씨(383억원), 클리오(373억원), 클래시스(302억원)가 각각 올랐다.△ 매출총이익율 상위 10대 기업매출총이익률면에서는..."
