날짜,제목,내용
2023.06.02.,"SK그룹, 회사채 발행액 올해만 벌써 7조 넘겨…재무부담 커지나",올해 들어 SK그룹이 발행한 회사채 규모가 7조원을 넘어섰다. 반도체 사업과 배터리 투자 확대 등을 위해 적극적인 자금 조달에 나서고 있는 것으로 보인다. 일각에선 SK그룹의 재무부담이 커질 수 있단 우려가 나온다. 2일 금융투자업계에 따르면 SK그룹의 회사채 발행액은 연초부터 전날까지...
2023.06.02.,"SKIET, 북미 등에 분리막 7년간 공급","북미 공장 진출시 공급처 안정적 확보 배터리 분리막 생산 기업인 SK아이이테크놀로지(SKIET)가 북미 지역에 분리막을 장기 공급하는 계약을 체결했다. 2일 SKIET는 전날 북미, 기타 해외 지역을 대상으로 이차전지용 분리막을 7년간 공급하는 계약을 맺었다고 공시했다. 계약 금액과 계약 상대, 주요..."
2023.06.02.,"최태원 SK그룹 회장, 동티모르 대통령과 면담...사업 협력 논의","조제 하무스 오르타 동티모르 대통령(왼쪽)과 최태원 SK그룹 회장이 2일 오전 서울 중구 SK본사에서 만난 것으로 확인됐다. 동티모르 해상 가스전 설비 전환 사업 등에 관한 협력 방안을 논의한 것으로 추정된다. 사진=연합뉴스, 대한상공회의소 제공 매일일보 = 최동훈 기자 | 최태원 SK그룹 회장이 서울..."
2023.06.02.,"삼성전자·SK하이닉스 실적 2분기 바닥론…""반도체 겨울 끝이 보인다""",'반도체 한파'가 이어지면서 삼성전자(005930)와 SK하이닉스(000660)의 올해 2분기 실적 전망도 어둡다. 감산에 나섰지만 가격 하락을 막지 못했다.... SK하이닉스도 2분기 상황이 안 좋긴 마찬가지다. 지난해 4분기 이후 3분기 연속 적자가 예고됐다. 컨센서스는 3조2217억원의 분기 영업손실로 모아지고...
2023.06.02.,"美, 삼성전자·SK하이닉스 '압박'하고 '트집'잡고","중국이 미국의 마이크론 반도체 판매를 금지한 가운데, 삼성전자와 SK하이닉스에 대한 미국의 압박이 높아지고 있습니다. 윤선영 기자, 미국에서 '신뢰'의... 앳킨슨 회장은 메모리 반도체 시장에 대해 SK하이닉스와 삼성전자, 마이크론까지 3개 기업이 주도하고 중국 기업들이 추격하는 상황이라며 ""중국의..."
2023.06.03.,"美하원 외교위원장 ""삼성·SK, 마이크론 빈자리 채우면 안돼""","그러면서 ""삼성과 SK하이닉스와 같은 한국 기업들이 마이크론의 시장 점유율을 대체하도록 허용하면 중국 정부에 위험한 신호를 보내고 한국과의 긴밀한 동맹 관계를 약화시킬 수 있다""고 덧붙였다. 한편 중국이 마이크론 제품에 대한 구매 제재 조치를 발표한 뒤 미 의회 내에서 한국 기업들이 중국 시장에서..."
2023.06.03.,"[초점] '이율배반' 美, 테슬라·애플 '친중' 행보 방관…삼성·SK 韓 기업엔 ...","이는 삼성전자, SK하이닉스 등 한국 반도체 기업들에게 중국 내 마이크론의 빈자리를 대체하지 말 것을 요구하고 나선 것과는 상당히 대조적인 태도다. 자국 기업의 친중 행보에 대해서는 '지켜보겠다' 외에 뾰족한 대응 방안을 내세우지 않으면서, 남의 나라인 한국 기업에 대해선 연일 노골적으로 압박하고..."
2023.06.03.,"SKIET, 북미에 이차전지 분리막 장기 공급계약 체결",SK아이이테크놀로지(SKIET)가 북미를 비롯한 해외 지역에 이차전지용 분리막을 장기공급한다. 이에 따라 SKIET의 북미지역 진출도 탄력을 받을 것으로 보인다. SKIET는 이차전지 핵심 부품인 분리막을 국내 최초 세계에서 세 번째로 개발한 기업으로 국내 12개 생산라인을 비롯해 중국과 폴란드의...
2023.06.03.,[SK그룹] SKC 8.57% 올라 계열사 중 상승률 선두,사진=SKC 홈페이지 3일 한국거래소에 따르면 지난 2일 SK그룹 계열사 시가총액은 158조538억원을 기록해 지난 1일 시가총액 156조7586억원과 비교해 1조2952억원 증가한 것으로 나타났다. SK그룹 계열사 중 SKC 종목은 전거래일 대비 8.57% 상승해 계열사 중 주가상승률 1위를...
2023.06.03.,[하나證 주간추천주]SK이노베이션·한국전력·삼성전기,"△SK이노베이션(096770) -미국 조지아 1·2공장의 수율 정상화에 따른 첨단제조세액공제(AMPC) 반영과 이에 따른 추정치 상향 기대. -유가와 정제 마진은 이미 큰 폭 하락해 추가적인 낙폭 제한돼. △한국전력(015760) -원자재 가격 우호적인 흐름. 유연탄, 액화천연가스(LNG) 가격 하락으로 원가 부담 감소...."
