날짜,제목,내용
2023.06.04.,"삼성중공업, 원유 운반선 2척 공급계약 주가 호재로","삼성중공업 주가가 뛰어올랐다. 이는 오세아니아 지역 선주와 원유운반선 2척에 대한 건조 계약을 체결한데 따른 것으로 풀이된다. 2척의 총 수주액은 2275억원으로 이들 선박은 오는 2026년 2월까지 차례로 인도될 예정이다. 이번 계약을 포함해 올 들어 현재까지 총 7척, 27억달러를 수주했다. 연간 수주..."
2023.06.04.,"창원특례시, 우림피티에스와 205억원 규모 투자협약 체결 [경남소식]","◆삼성중공업, 원유운반선 2척 2275억원 수주 삼성중공업은 오세아니아 지역 선주와 원유운반선 2척에 대한 건조 계약을 체결했다고 2일 공시했다. 2척의 총 수주액은 2275억원이며 이들 선박은 2026년 2월까지 순차적으로 인도될 예정이다. 삼성중공업은 이번 계약을 포함해 올 들어 현재까지 총 7척, 27억 달러를..."
2023.06.04.,"조선 빅3, 친환경 선박 분야 ‘초격차 기술’ 확보 총력","4일 관련업계에 따르면 HD한국조선해양, 삼성중공업, 한화오션(옛 대우조선해양) 등 조선 빅3가 수소ㆍ암모니아 추진 선박 등 차세대 친환경 선박 개발을 본격화한다. 먼저 HD한국조선해양은 미국선급협회(ABS)와 드레스덴공대 등 14개 기관과 컨소시엄을 구성해 이달부터 대형 액화수소 화물창 기술 공동..."
2023.06.04.,경남도 외국인 근로자 산재사고 예방 적극 나선다,"이번 사업 교육과정은 경남도를 비롯해 산업안전보건교육원, 안전보건공단 경남본부에서 각각 맡았으며, 경상남도다문화가족지원센터에서는 결혼이주여성에 대한 통역강사 양성과정 참여 안내, 삼성중공업, 한화오션은 소속 외국인 근로자의 안전보건강사 양성과정 선발을 맡아 이번 '원어민 안전보건강사..."
2023.06.04.,"경남도, ‘차세대 원전 글로벌 제조거점 육성’ 비전 제시","또한, 덴마크 시보그사, 삼성중공업, 한화오션, 한국전력기술, 한국원자력연구원 등과 함께 육상원전뿐만 아니라, 선박 및 해양플랜트에 적용할 수 있는 용융염원자로 등의 차세대원전 기술개발 및 실증 연구도 추진한다. 원전해체 기술 중 절단·해체·제염 등의 기술개발에 235억원을 투입하고, 사용..."
2023.06.04.,[삼성그룹 주간동향] 주간 시총 13조8110억 껑충...삼성전기 주간 상승률 1위,1위 삼성전기 14만9300원(3.68%)▲2위 삼성SDI 71만5000원(3.17%)▲3위 삼성에스디에스 12만5500원(2.78%)▲4위 삼성전자 7만2200원(2.7%)▲5위 제일기획 1만8400원(2.05%)▲6위 삼성증권 3만6600원(1.67%)▲7위 삼성중공업 6180원(1.31%)▲8위 삼성바이오로직스 78만5000원(1.03%)▲9위 멀티캠퍼스...
2023.06.05.,"삼성중공업, ‘하도급 계약서 미발급’ 과징금 3천6백만 원","삼성중공업이 하도급 계약 내용과 대금 등을 적은 서면을 제때 발급하지 않아, 공정거래위원회로부터 시정 명령과 함께 과징금 3천6백만 원을 부과받았습니다. 공정위 조사 결과, 삼성중공업은 2019년 9월부터 2020년 4월 사이 수급사업자인 A사에 선박 전기장치와 기계장치 임가공 등 업무를 위탁했지만..."
2023.06.05.,"삼성중공업 주가 상승, 원유운반선 2척 수주","삼성중공업 로고 삼성중공업 주가가 상승세다. 5일 오후 1시 46분 기준 삼성중공업은 4.21%(260원) 상승한 6440원에 거래 중이다. 삼성중공업은 지난 2일 오세아니아 지역 선주와 원유운반선 2척에 대한 건조 계약을 체결했다고 공시했다. 2척의 총 수주액은 2275억원이며, 오는 2026년 2월까지..."
2023.06.05.,"유가·수주 촉각 속, 대우조선·삼성중공업 등 '장중 조선주 급등'","5일 증시에서 현대미포조선, 대우조선해양(이하 대우조선), 삼성중공업, HD한국조선해양 등 조선주들의 주가가 장중 급등세를 기록 중이다. 사우디아라비아의 기습적인 감산 결정에 따른 국제유가 상승 전망, 신규수주 기대감 속에 이 같은 흐름이 나타나는 것으로 풀이된다. 한국거래소에 따르면 오전..."
2023.06.05.,"아트라스콥코, 삼성중공업과 ‘스마트십 데이터 플랫폼 개발’ MOU 체결","이에 아트라스콥코 코리아와 삼성중공업은 자사 보유 기술력을 바탕으로 선박과 관련된 차세대 스마트십 플랫폼을 개발, 시장 내 경쟁 우위를 선점한다는 계획이다. 아트라스콥코(Atlas Copco) 코리아는 5일자 보도자료에서 삼성중공업과 LNG 운반선 장비 유지보수에 필요한 스마트십 데이터 플랫폼..."
