날짜,제목,내용
2023.06.02.,또다른 물 들어온다.. 영역 확장 팔 걷은 한화,이번 3차 발사에서 발사체 제작을 총괄한 한화에어로스페이스가 오는 2027년까지 3차례의 누리호 추가 발사에서는 제작 자체를 담당하게 된 것이다. 이처럼 방산·우주항공·조선업을 아우르며 미래 준비에 박차를 가하고 있는 한화가 ▲해운업 ▲재생에너지 ▲장비업 등 핵심 분야에서도 두각을 드러내기 위해...
2023.06.02.,누리호 성공의 그늘…'이공계 엑소더스' 심각,누리호의 반복 발사를 담당하는 한화에어로스페이스는 우주 발사체 상업화를 목표로 발사체 기술 이전을 받는다. 한화에어로스페이스는 앞으로 남은 세 차례 발사에서 발사체에 관련한 제작과 시험 평가를 주관하고 발사 운영에 참여하게 된다. 과학기술정보통신부에 따르면 정부는 앞으로 2027년까지...
2023.06.02.,"한화오션, 신용등급 '긍정적→안정적'으로 상향...첫 출발이 좋다","한화오션 인수에 참여한 한화에어로스페이스, 한화시스템 등 방산 계열사의 자금 지원의지가 매우 높은 수준이라는 평가다. 한기평은 ""그룹 사업구조 및 전략적 방향 차원에서 통합도가 높다""며 ""다수의 계열사들이 유상증자에 참여한 점 등을 감안할 시 지원을 실행할 가능성이 인정된다""고 판단했다...."
2023.06.02.,"한화오션 방산 사업확대 가속화, 김동관 '한국판 록히드마틴’ 향해 성큼성큼","지난해 11월 한화에어로스페이스는 폴란드 정부와 다연장 로켓 '천무' 발사대, 유도탄, 장사거리탄 등을 공급하는 약 35억 달러(5조 원) 규모의 1차 실행계약을 맺었다. 8월에는 3조2천억 원 규모의 K9 자주포 수출계약을 체결했다. 폴란드 측 고위 공직자나 실무자들과 교섭을 진행하며 관계를 형성한 만큼 잠수함..."
2023.06.02.,"美 훈풍, 코스피 '활짝'...LG화학 · SKC · 삼성전자 · 한화솔루션 '껑충'","방산주 가운데 한화에어로스페이스(2.59%), 한국항공우주(4.06%), LIG넥스원(2.30%) 등이 올랐다. 제약바이오주에선 SK바이오사이언스(0.61%), SK바이오팜(0.80%), 대웅제약(1.16%) 등이 올랐고 삼성바이오로직스(-0.38%), 셀트리온(-1.08%), JW중외제약(-1.90%) 등은 하락했다. 항공주 중 아시아나항공(0.24%)이..."
2023.06.03.,한화는 다 계획이 있었다,이런 이유로 한화에어로스페이스를 중심으로 공을 들여왔습니다. 하지만 군함 등 해상 부문에선 늘 아쉬움이 컸습니다. 군함 등 특수선에 장착할 장비 기술은 갖췄지만 정작 배가 없었기 때문입니다. 지난 2008년 김승연 한화그룹 회장이 당시 대우조선해양을 인수하기 위해 총력전을 펼쳤던 것도 이...
2023.06.03.,‘37만 개 부품의 하모니’…누리호 연속 성공의 숨은 주역들 [주말엔],"■뉴스페이스(New Space) 시대…역할 커지는 민간 우주 기업 누리호의 심장인 6개의 엔진은 우주·방산 기업인 한화에어로스페이스가 조립과 납품을 담당했습니다. 항우연이 설계한 엔진을 한화에어로스페이스가 조립하는 방식으로 진행됐는데, 이 역시도 수많은 시행 착오 끝에 완성된 결과물입니다. 특히..."
2023.06.03.,"""누리호, 300개 업체가 원팀, 매일의 실패가 모여 성공을 만들었다""","'시간이 녹아있는 곳.' 한화에어로스페이스 최영환 체계종합팀장은 나로우주센터 발사지휘센터(MDC)의 첫인상을 이렇게 말했다. ""겉으로만 보면 MDC도 여타 제어실과 크게 다른 점 없이 평범한 곳처럼 보입니다. 그러나 직접 발을 디뎌보면 MDC에 앉아 있는 한 사람, 한 사람의 능력이 직접 느껴집니다. 얼마나..."
2023.06.03.,"[CEO포커스] 손재일 한화에어로 대표, 누리호로 민간 우주시대 연다","손재일 대표가 이끄는 한화에어로스페이스가 한국형 발사체 '누리호' 3차 발사에서 엔진 제작과 발사 준비, 발사 임무 통제 등을 맡으며 성공을 주도했다. 추후 4~6차 발사에서 한화에어로스페이스의 역할이 확대된 만큼 손 대표는 민간 우주시대를 앞당기는 데 집중할 전망이다. 최근 한화에어로스페이스가..."
2023.06.03.,대한민국 우주산업화 시대 [이병도의 時代架橋],"그러면서 한국항공우주연구원(항우연), 한화에어로스페이스, 한국항공우주산업(KAI)의 연구진과 기술자들의 노고를 치하했다. 정부는 지난해 말 대한민국의 우주경제시대를 위한 우주개발진흥기본계획을 마련한 바 있다. 5대 장기개발과제에는 2032년 달 착륙, 2045년 화성 착륙이란 담대한 목표도 담겨 있다...."
