날짜,제목,내용
2023.06.02.,"코스피, 외국인·기관 '대량 매수'에 1년만에 2,600 돌파…외인 삼성전자·LG...","(51억원), 크래프톤(46억원), SK하이닉스(43억원), 대한항공(40억원), HPSP(38억원), OCI(36억원), 아모레G(34억원), 엔씨소프트(34억원), 기아(33억원)... 33억원↓), 크래프톤(1,802억원, 6억원↓), HLB(1,761억원, 42억원↑), 신한지주(1,560억원, 101억원↑), SK바이오사이언스(1,549억원, 17억원↑), SKC(1,436억원..."
2023.06.02.,[주간증시] 게임주 반등 흐름 속 희비 엇갈려,크래프톤 주가는 전주 대비 3800원 오른 18만 9000원에 장을 마감했다. 앞서 3거래일 연속 오름세를 보이다 약보합으로 한주를 마쳤다. 엔씨소프트 주가는 전주 대비 1만 4000원 떨어진 31만 9500원에 거래를 마쳤다. 7거래일 연속 하락세를 보이며 52주 최저가를 기록했다. 넷마블 주가는 전주 대비 700원...
2023.06.02.,"[데이터로 보는 증시]카카오·삼성전자, 기관·외국인 코스피 순매수 1위(6월...","순매도 상위종목은 아모레퍼시픽(121억원)와 한미반도체(115억원), LG생활건강(75억원), 하나투어(55억원), 덴티움(51억원), 크래프톤(46억원), 대한항공(42억원), SK하이닉스(36억원) 등이다 외국인은 삼성전자(005930)(1763억원)와 LG화학(700억원), 메리츠금융지주(138040)(242억원)..."
2023.06.02.,"컴투스, 1분기 매출 45%↑…주요 게임사 중 최고","NHN(5.4%)과 크래프톤(3.0%)도 매출을 늘리는데 성공했다. 반면, 6개 기업은 매출이 하락했다. 엔씨소프트의 매출 감소율이 가장 컸다. 지난해 1분기 7903억 원에서 올해 1분기 4788억 원으로 39.4% 줄었다. 리니지W의 매출이 3732억 원에서 1226억 원으로 67.1% 감소한 것이 가장 큰 요인이다. 2분기 리니지M..."
2023.06.02.,[더벨][지주사 자본재분배 성적표]자체 구조조정 나선 SK플래닛 '숨은 효자',SK플래닛은 케이넷문화컨텐츠투자조합을 탈퇴하면서 배당받은 1824억원 규모 크래프톤 주식(108만5600주)을 현물배당한 것 외에도 500억원의 현금배당을 실시했다. 그동안 SK플래닛은 배당에 소극적이었다. SK플래닛이 배당을 지급한 것은 2015년 중간배당(2339억원) 이후 7년 만이다. SK플래닛은 별도...
2023.06.02.,[게임 K-뉴딜] NHN 1.71% 올라 업종 내 상승률 상위권,1위 NHN 2만6700원(1.71%)▲2위 네오위즈 5만600원(1.3%)▲3위 넥슨게임즈 2만750원(1.22%)▲4위 카카오게임즈 3만9300원(1.16%)▲5위 크래프톤 18만9400원(0.16%)▲6위 엔씨소프트 32만1000원(0%)▲7위 더블유게임즈 4만4150원(-0.67%)▲8위 위메이드 4만6950원(-1.05%)▲9위 넷마블 5만5300원(-1.07%)▲10위...
2023.06.03.,여름방학이 온다…게임株 반등할까,"지난달 마지막 주 크래프톤(8.54%), 엔씨소프트(11.07%), 넷마블(3.24%), 카카오게임즈(2.16%) 등이 하락했다. 특히 엔씨소프트는 신작 기대감에 네오위즈는 4.30... 올해 대형 신작 부진 등에 주가가 부진했던 크래프톤은 최근 인도에서의 배틀그라운드 모바일 서비스를 재개했다. 서비스 차단 조치가 10개월 만에..."
2023.06.03.,"[게임리뷰] 카카오게임즈, 모바일 액션 RPG '월드 플리퍼' 신규 캐릭터 4종 등...","◇크래프톤 크래프톤의 독립 스튜디오 라이징윙스가 실시간 전략 디펜스 모바일 게임 ‘디펜스 더비(Defense Derby)’의 얼리 액세스 테스트 기록을 공개했다. 얼리 액세스 테스트는 지난 4월 27일부터 5월 11일까지 한국, 태국, 대만, 인도 지역을 대상으로 진행됐다. ‘수호자의 길’, ‘수호자 레벨’..."
2023.06.03.,"팀GP, 3매치 치킨 획득하며 14점 쌓아…상위권 추격 (PMPS 시즌2)","이에 치킨 점수 10점 포함 14점을 가져갔다. 한편, '배틀그라운드 모바일 프로 시리즈(PMPS) 2023'은 배틀그라운드 모바일의 국내 최강 팀을 가리는 프로 리그다. 총 3개의 시즌으로 구성되어 있으며, 각 시즌 별로 7천만 원의 상금이 걸려 있다. 사진 = 크래프톤 공식 중계 채널"
2023.06.03.,"농심레드포스, 6매치 치킨 획득…디플러스기아 3일 차 1위 (PMPS 시즌2)","한편, '배틀그라운드 모바일 프로 시리즈(PMPS) 2023'은 배틀그라운드 모바일의 국내 최강 팀을 가리는 프로 리그다. 총 3개의 시즌으로 구성되어 있으며, 각 시즌 별로 7천만 원의 상금이 걸려 있다. 사진 = 크래프톤 공식 중계 채널"
2023.06.03.,"ZZ, 오늘 경기 부진 털어니며 4매치 치킨 획득…15킬 기록 (PMPS 시즌2)","한편, '배틀그라운드 모바일 프로 시리즈(PMPS) 2023'은 배틀그라운드 모바일의 국내 최강 팀을 가리는 프로 리그다. 총 3개의 시즌으로 구성되어 있으며, 각 시즌 별로 7천만 원의 상금이 걸려 있다. 사진 = 크래프톤 공식 중계 채널"
2023.06.03.,"ZZ, 2연속 치킨 획득 성공하며 대량 득점…디플러스기아 맹추격 (PMPS 시즌2)","한편, '배틀그라운드 모바일 프로 시리즈(PMPS) 2023'은 배틀그라운드 모바일의 국내 최강 팀을 가리는 프로 리그다. 총 3개의 시즌으로 구성되어 있으며, 각 시즌 별로 7천만 원의 상금이 걸려 있다. 사진 = 크래프톤 공식 중계 채널"
2023.06.03.,"디플러스기아, 9킬 쓸어 담으며 3일 차 2매치 치킨 획득…19점 쌓아 (PMPS 시...","한편, '배틀그라운드 모바일 프로 시리즈(PMPS) 2023'은 배틀그라운드 모바일의 국내 최강 팀을 가리는 프로 리그다. 총 3개의 시즌으로 구성되어 있으며, 각 시즌 별로 7천만 원의 상금이 걸려 있다. 사진 = 크래프톤 공식 중계 채널"
2023.06.03.,"이엠텍스톰엑스, 좋은 경기력 선보이며 3일 차 1매치 치킨 획득…18점 쌓아 (...","치킨 점수 10점 포함 18점을 획득하며 상위권 진출을 위한 발판을 쌓았다. 한편, '배틀그라운드 모바일 프로 시리즈(PMPS) 2023'은 배틀그라운드 모바일의 국내 최강 팀을 가리는 프로 리그다. 총 3개의 시즌으로 구성되어 있으며, 각 시즌 별로 7천만 원의 상금이 걸려 있다. 사진 = 크래프톤 공식 중계 채널"
2023.06.03.,[게임 K-뉴딜] 펄어비스 2.94% 올라 업종 내 상승률 상위권,1위 펄어비스 5만800원(2.94%)▲2위 넷마블 5만6000원(1.27%)▲3위 더블유게임즈 4만4650원(1.13%)▲4위 NHN 2만6950원(0.94%)▲5위 카카오게임즈 3만9300원(0%)▲6위 크래프톤 18만9000원(-0.21%)▲7위 엔씨소프트 31만9500원(-0.47%)▲8위 위메이드 4만6300원(-1.38%)▲9위 넥슨게임즈 2만350원(-1.93%)▲10위...
