날짜,제목,내용
2023.06.02.,"[더벨][박지원의 에코 에너지]'큰손' 만난 후계자, 공장투어에 담은 친환경 미...",직접 찾아가 만나기도 어려운 귀한 손님이 방문한 곳은 경남 창원의 두산에너빌리티 공장이다. 아랍식 양고기를 곁들인 점심 만찬을 준비하는 데만 한달을 쏟았다는 전언이다. 두산에너빌리티는 왕세자에게 국내 신고리3·4호기 제작 과정을 공개했다. 두산에너빌리티의 미래 사업 무게추가 원자력발전...
2023.06.02.,"뉴스케일파워, 6600억 규모 유상증자 추진…두산·삼성·GS 추가투자 나서나","뉴스케일파워, 5억 달러 믹스드 쉘프 오퍼링 추진 두산에너빌리티·삼성물산·GS에너지 투자하기도 한국 기업 추가 투자 나설지 관심사 [더구루=정등용 기자] 미국 소형모듈원전(SMR) 기업 뉴스케일파워가 신규 자금 조달에 나선다. 한국 기업의 추가 투자 참여가 이뤄질지 주목된다. 뉴스케일파워는..."
2023.06.02.,"[데이터로 보는 증시]카카오·삼성전자, 기관·외국인 코스피 순매수 1위(6월...","(99억원), 두산에너빌리티(034020)(98억원),포스코인터내셔널(047050)(92억원)를 순매수했고 셀트리온(258억원)를 비롯해 DB하이텍(247억원), 하이브(141억원), 이수스페셜티케미컬(92억원), 현대모비스(90억원), NAVER(90억원), LG전자(89억원), 엔씨소프트(80억원), 영풍제지(71억원), KT&G..."
2023.06.02.,"[내 종목을 부탁해] 복잡한 계좌 해결 방법은? <셀트리온헬스케어>,<에스비비...","▶ 출연 - 이재석 MTNW 어드바이저,김재경 MTNW 어드바이저 #실시간 유튜브·문자상담 SK아이이테크놀로지(361610) 지오릿에너지(270520) 신세계인터내셔널(031430) 천보(278280) BGF(027410) 두산에너빌리티(034020) #실시간 전화상담 ※ 생방송 는 월~금 오후 3시 50분에 방송되며, 이 방송은..."
2023.06.04.,10개중 9개나…이렇게 망하기도 쉽지않은데 개미들 계좌가 ‘텅’,"지난달 개인투자자 순매수 상위 10개 종목은 POSCO홀딩스(4966억원), LG화학(2702억원), LG생활건강(1657억원), 엔씨소프트(1615억원), 두산에너빌리티(1378억원), 아모레퍼시픽(1010억원), 한화솔루션(1008억원), 이마트(782억원), KT&G(781억원), 고려아연(749억원) 순이었다. 이 중 두산에너빌리티만 유일하게 2.6..."
2023.06.04.,두산에너빌리티 그린워싱 지적한 기후운동가에 항소,"최근 두산에너빌리티가 청년 기후운동가에게 제기한 손해배상 청구 소송이 기각되자 항소를 진행한 사실이 알려졌다. 경남기후위기비상행동은 지난 2일 두산에너빌리티에 항소를 포기하라고 요구했다. 이들은 ""기후위기 시대에 두산에너빌리티가 선도 기업으로 성장할 것을 요구하는 과정에서 벌어진 일..."
2023.06.04.,창원이 다시 뛴다…대표 기업들 생산·수주 희소식,◆K-원전 생태계 회복 신호탄 = 지난 5월 15일 신한울 3·4호기 원자력 발전소에 공급되는 주기기 제작 착수식이 두산에너빌리티(이하 두산E) 공장에서 개최됐다. 두산E가 지난 3월 한국수력원자력과 약 2조9000억원 규모의 주기기 공급 계약을 체결한 지 두 달 만이다. 특히 주기기 제작은 지난 정부에서 사업을...
2023.06.04.,"[주간 투자자 동향] 외국인, 반도체 투톱 1조3000억 싹쓸이","13위 두산에너빌리티 209억원(129만주), 14위 OCI 196억원(14만주), 15위 메리츠금융지주 189억원(40만주), 16위 SK아이이테크놀로지 185억원(19만주), 17위 카카오뱅크 171억원(65만주), 18위 이엔플러스 166억원(142만주), 19위 카카오페이 158억원(27만주), 20위 크래프톤 140억원(7만주)..."
2023.06.04.,기아 ‘글로벌 경쟁력’ 눈길…RV·친환경차 판매 힘 싣는다,"우선 기아는 연매출 10조원 이상 기업 중 GS칼텍스, 대한항공, HD현대오일뱅크, 에쓰오일, LG에너지솔루션, 현대자동차, 현대모비스, 두산에너빌리티, 한화 등과 함께 고속성장 부문에서 우수기업에 이름을 올렸다. 고속성장 부문 경영평가는 매출 증감률, 자기자본이익률(ROE) 증감 등 항목을..."
2023.06.04.,[어떻게 돼갑니까] 창원시 수소산업 생태계 조성,"이와 함께 시는 두산에너빌리티와 함께 상반기 준공을 목표로 국내 최초 액화수소플랜트 구축 사업도 진행하고 있다. 액화수소플랜트가 완공되면 하루 5t, 연간 1700t의 액화수소가 국내 최초로 생산·공급될 예정이다. 액화수소는 기체수소를 영하 235℃의 극저온상태로 냉각해 액화한 수소로, 고압의..."
