날짜,제목,내용
2023.06.02.,아직 적자 탈출 못한 SK온이 신용 등급 'A2+' 받은 이유는,"그러나 모회사 SK이노베이션의 지원 사격으로 대규모 상장 전 지분 투자(프리 IPO)를 연달아 유치, 목표의 10% 이상인 최대 4조4400억원의 투자 실탄을 확보하면서 자금 조달의 불확실성을 해소했다는 분석이다. 더불어 각형 배터리 개발에 따른 제품 다각화도 경쟁력 강화 요소다. 나이스신용평가와..."
2023.06.02.,"[더벨][격전지 ESS 산업 분석]사업중단 선언한 SK온, '재도전' 나선 까닭은","◇전기차 전지→ESS 전지 수주 연결 못해 한때 사업 중단 SK온이 분사하기 전인 SK이노베이션은 2010년에 ESS 사업에 본격적으로 뛰어들었다. 전 세계적으로 태양광과 풍력, 조력 같은 신재생 에너지 발전에 대한 관심이 커진 시기다. 경쟁사인 LG화학과 삼성SDI도 같은 시기에 ESS 사업에 나선 점을..."
2023.06.02.,"'SK이노 투자' 아모지, 북미 화학 기업 'LSB'와 맞손",아모지 연료전지 핵심 암모니아 공급 협력 파일럿 프로그램 실시…암모니아 사업 기회 발굴 SK이노베이션이 투자한 미국 '아모지(Amogy)'가 현지 화학사 'LSB인더스트리(이하 LSB)'와 손을 잡는다. 아모지 수소연료전지의 핵심 원료인 암모니아 공급망을 안정적으로 구축한다. 2일 아모지에 따르면 회사는 최근...
2023.06.02.,"코스피, 외국인·기관 '대량 매수'에 1년만에 2,600 돌파…외인 삼성전자·LG...","◆ 기관 매수/매도 종목 기관 순매수 상위 종목은 카카오(336억원), 한화솔루션(242억원), 포스코홀딩스(226억원), SK이노베이션(225억원), LG화학(216억원), 에코프로(215억원), 에코프로비엠(192억원), SK아이이테크놀로지(179억원), 이수페타시스(102억원), 한국항공우주(80억원), 씨에스윈드..."
2023.06.02.,SK 주가 '방긋'… 비상장 자회사 성장 예의주시,"에너지 가격 하락과 반도체 업황 부진으로 SK이노베이션, SK스퀘어 등 관련 자회사의 이익이 큰 폭으로 감소했고 SMP 상한제 및 전방산업 부진으로 비상장 자회사인 SK E&S, SK실트론 등도 이익률이 감소했다. 하지만 별도 매출액은 1.6조원(+56.3% YoY), 영업이익 1.1조원(+92.9% YoY)으로 대폭..."
2023.06.02.,[SK그룹] SK디스커버리 2.7% 올라 계열사 중 상승률 선두,"SK디스커버리 뒤를 이어 SK이노베이션, SK아이이테크놀로지 종목도 각각 2.64%, 2.26%씩 상승해 상승률 상위권에 이름을 올렸다. 한편, 에스엠코어 종목은 -1.86%를 기록해 SK그룹 계열사 중 가장 부진한 흐름을 나타냈다. 지난 1일 SK그룹 전체 계열사의 주가 등락률은 다음과..."
2023.06.03.,[하나證 주간추천주]SK이노베이션·한국전력·삼성전기,"△SK이노베이션(096770) -미국 조지아 1·2공장의 수율 정상화에 따른 첨단제조세액공제(AMPC) 반영과 이에 따른 추정치 상향 기대. -유가와 정제 마진은 이미 큰 폭 하락해 추가적인 낙폭 제한돼. △한국전력(015760) -원자재 가격 우호적인 흐름. 유연탄, 액화천연가스(LNG) 가격 하락으로 원가 부담 감소...."
2023.06.03.,주간 코스피 기관 순매수도 상위 10종목...SK이노베이션-LG전자-포스코퓨처엠,"▲지난 한 주(2023-05-29~2023-06-0) 코스피 시장에서 기관은 SK이노베이션, LG전자, 포스코퓨처엠을 집중 매수했다. © 연합뉴스. 지난 한 주(2023-05-29~2023-06-0) 코스피 시장에서 기관은 SK이노베이션, LG전자, 포스코퓨처엠을 집중 매수했다. 반면, SK하이닉스, 삼성전자, 현대차를 집중 매도했다."
2023.06.03.,"미래에셋증권, 6월 첫째주 SK바이오팜 등 55종목 매수 추천","SK이노베이션(096770) 투자 포인트(최근 분기) ▲SKON, 2023년 2분기 IRA 인센티브 반영되며 흑자전환 예상 ▲정제 마진은 언더슈팅 구간으로 보고 있으며 반등 전망 ▲자금조달 우려 해소, 계획했던 4조원으리 Pre-IPO 지금보다 더 많은 자금유지. 리스크 : 급등했던 PX 스프레드의 하락으로 화학부문..."
2023.06.03.,[SK그룹] SKC 8.57% 올라 계열사 중 상승률 선두,1위 SKC 10만2600원(8.57%)▲2위 SK아이이테크놀로지 9만7500원(7.62%)▲3위 SK렌터카 9640원(3.66%)▲4위 SK디스커버리 3만7250원(2.9%)▲5위 인크로스 1만4770원(2.07%)▲6위 SK이노베이션 19만8000원(2.01%)▲7위 SK디앤디 2만1450원(1.9%)▲8위 에스엠코어 7000원(1.89%)▲9위 SK 16만9600원(0.89...
2023.06.03.,"삼성전자 2.3도 한전 3.2도기업 43.3%, 파리협정 목표 초과","1000만 톤 이상 배출 기업(연결 기준) 8곳 중 2도 이내에 속한 기업은 현대제철(배출량 2849만 톤, 2도)과 SK이노베이션(1121만 톤, 1.5도) 두 곳뿐이었다. 나머지 기업의 ITR은 한국전력 3.2도, GS 3.2도, LG화학 3.2도, 포스코홀딩스 2.4도, SK 2.2도, 삼성전자 2.3도 순으로 높았다. 온실가스 배출량과 무관하게..."
2023.06.03.,"코스피, 기관 순매수도 상위 10종목(2일)...카카오-한화솔루션-POSCO홀딩스","▲ 2일 코스피 시장에서 기관은 카카오, 한화솔루션, POSCO홀딩스, SK이노베이션을 집중 매수했다.© 연합뉴스. 2일 코스피 시장에서 기관은 카카오, 한화솔루션, POSCO홀딩스, SK이노베이션을 집중 매수했다. 반면, 아모레퍼시픽, 한미반도체, LG생활건강을 집중 매도했다."
2023.06.03.,美 추가금리 인상? 동결?...다우ㆍ나스닥 훨훨 무슨일이?,테슬라가 크게 오르면서 국내 2차전지 관련주도 주목을 받고 있다.삼성SDI LG화학 SK이노베이션 웰크론한텍 넥스트아이 솔루스첨단소재 삼아알미늄 신성델타테크 엔시스 씨노텍 포스코케미칼 솔브레인 금양 천보 에코프로비엠 동화기업 대주전자재료 피엔티 서원인텍 에코프로 등이 거론된다....
2023.06.03.,[2차전지 K-뉴딜 주간동향] 포스코퓨처엠 한주간 15.43% 급등...업종내 상승률...,1위 포스코퓨처엠 37만4000원(15.43%)▲2위 SK아이이테크놀로지 9만7500원(10.29%)▲3위 SKC 10만2600원(8.57%)▲4위 SK이노베이션 19만8000원(8.32%)▲5위 에코프로비엠 25만5000원(7.14%)▲6위 엘앤에프 26만7000원(6.16%)▲7위 에코프로 56만7000원(4.61%)▲8위 삼성SDI 71만5000원(3.17%)▲9위 LG화학...
2023.06.04.,"SK그룹 ""지난해 사회적 가치 20조원 이상 창출""",카본 투 그린(Carbon to Green) 전략을 이행중인 SK이노베이션의 경우 자회사 SK온과 SK아이이테크놀로지가 각각 생산하는 전기차 배터리와 전기차 배터리 분리막 등 환경 분야 제품이 사회적가치 창출에 크게 기여했다. 또 대표적인 온실가스 배출 물질인 프레온을 대체하는 발포제 생산으로 935억원...
2023.06.04.,"SK, 작년 사회적가치 20.5조원 창출…5년째 화폐화해 발표",'카본 투 그린'(Carbon to Green) 전략을 이행 중인 SK이노베이션이 대표적이다. SK이노베이션 소속 SK온과 SK아이이테크놀로지가 각각 생산하는 전기차 배터리와 전기차 배터리 분리막은 환경 분야의 사회적 가치 증가에 기여한 것으로 분석된다. 또 온실가스 배출 물질인 프레온을 대체하는 발포제...
2023.06.04.,"[株슐랭 가이드] 6월 서머랠리 온다... SKIET, 삼성전기 주목","‘SK이노베이션’도 추천 목록에 이름을 올렸다. 미국 조지아 1·2공장의 수율 정상화에 따라 첨단제조세액공제(AMPC)가 반영되면 이익 추청치가 상향될 수 있다는 설명이다. 금융정보업체 에프앤가이드에 따르면 SK이노베이션의 올해 3·4분기 예상 당기순이익은 4261억원으로, 전년동기 대비 143% 증가할..."
2023.06.04.,"[데이터로 보는 증시]SK이노베이션·삼성전자, 기관·외국인 주간 코스피 순매...","기관 주간 순매수 상위종목은 SK이노베이션(096770)(627억원)를 가장 많이 매수한 가운데 LG전자(066570)(578억원), 포스코퓨처엠(003670)(412억원), LG에너지솔루션(373220)(388억원), SK아이이테크놀로지(361610)(380억원), 하이브(352820)(307억원), 삼성전자우(005935)(282억원), LG화학(051910)..."
2023.06.04.,"SK에너지·현대오일·에쓰오일, 바이오항공유 '올인'",SK이노베이션도 SAF 생산 설비 신설을 검토한다. SK이노베이션은 오는 2027년까지 순환경제 구축과 친환경 설비전환 및 친환경 제품 확대에 총 5조원이 투입하는 데 일부는 SAF 생산 설비 구축에 쓰인다. 해외 투자도 나선다. 2021년 SK가 약 600억원을 투자한 미국 펄크럼 바이오에너지에 SK이노베이션도...
2023.06.04.,코스피 주간 기관 순매수 1위 'SK이노베이션',
2023.06.04.,"SK온 ""흑자전환 시점 멀지 않았다""···인력·자금 확충 속도전","/ 사진=SK SK이노베이션의 배터리 자회사 SK온이 조만간 흑자 전환이 가능하다는 자신감을 내비치고 있다. 그동안 수율과 인력, 자금 등의 문제가 있었지만 최근 반전 국면에 접어들면서 실적 역시 반등할 것이란 전망이 나온다. SK온의 수율(완성품 중 합격 제품 비율)은 점진적으로 개선되는 모습이다...."
2023.06.04.,[SK그룹 주간동향] SK아이이테크놀로지 한주간 10.29% '점프'...상승세 이어갈...,1위 SK아이이테크놀로지 9만7500원(10.29%)▲2위 SK렌터카 9640원(9.17%)▲3위 SKC 10만2600원(8.57%)▲4위 SK이노베이션 19만8000원(8.32%)▲5위 SK디스커버리 3만7250원(6.28%)▲6위 SK바이오팜 7만5300원(4.15%)▲7위 드림어스컴퍼니 3395원(3.19%)▲8위 SK바이오사이언스 8만2100원(3.01%)▲9위...
2023.06.04.,[주간 추천주] 실적 상향 기대…삼성전자·SK이노 등 '러브콜',"4일 금융투자업계에 따르면 하나증권은 SK이노베이션, 한국전력, 삼성전기를 추천주로 선정했다. SK이노베이션에 대해 ""미국 조지아 1, 2공장의 수율 정상화에 따른 생산세액공제(AMPC) 반영과 이에 따른 추정치 상향이 기대된다""며 ""유가와 정제 마진은 이미 큰 폭으로 하락해 추가적인 하락폭은 제한적""이라고..."
2023.06.04.,[주간추천주]SK이노·삼성전기…2분기 이익 눈높이 '쑥',"2분기 이익 눈높이가 높아질 것으로 예상되는 SK이노베이션(096770), 삼성전기(009150) 등 부품주들이 주간 추천주로 제시됐다. 향후 전기 요금 인상으로 실적 정상화가 예상되는 한국전력(015760)도 추천주로 거론됐다. 4일 금융투자업계에 따르면 하나증권은 주간추천주로 SK이노베이션을 제시했다. 미국..."
2023.06.05.,“SK이노베이션 배터리 사업 오는 4분기에 흑자 달성할 듯” <하이투자證>,미국공장 배터리 수율 문제 및 자금조달 문제 하나씩 해결 SK온 LFP 배터리 실물 모형 [사진=SK온] 하이투자증권은 5일 SK이노베이션이 배터리 사업 수율(완성품 가운데 합격품 비율)이 조금씩 개선되고 있어 오는 4분기에 흑자를 달성할 것이라고 전망했다. 이에 투자의견은 매수를 유지하고 목표주가는...
2023.06.05.,"[특징주] SK이노베이션, 긍정적인 변화 가시화에 주가 오름세",SK이노베이션은 당면하고 있는 과제들을 차근차근 풀어가고 있어 올해 하반기부터 보다 긍정적인 변화가 가시화될 것으로 전망돼 주가가 오름세를 보이고 있습니다. SK이노베이션의 주가는 5일 오전 9시 20분 현재 전일보다 1600원(0.81%) 오른 19만9600원에 매매되고 있습니다. 하이투자증권은...
2023.06.05.,"SK, 환경·사회 비즈 모델 혁신..작년 사회적 가치 창출 20조원 돌파","카본 투 그린(Carbon to Green) 전략을 이행중인 SK이노베이션의 경우 자회사 SK온과 SK아이이테크놀로지가 각각 생산하는 전기차 배터리와 전기차 배터리 분리막 등 환경 분야 제품이 사회적가치 창출에 크게 기여했다. 또한, 대표적인..."
2023.06.05.,하나증권: SK이노베이션·한국전력·삼성전기,"하나증권은 SK이노베이션, 한국전력, 삼성전기를 6월 둘째 주(6월5일~6월9일) 주간추천종목으로 선정한다고 5일 밝혔다. SK이노베이션에 대해선 ""미국 조지아 1,2공장의 수율 정상화에 따른 AMPC 반영과 이에 따른 추정치 상향이 기대된다""며 ""유가와 정제 마진은 이미 큰 폭 하락해 추가적인 하락폭 제한된다..."
2023.06.05.,"SK, 자회사 실적 악화에 주가 '뚝'…반등 시점은?","컨슈머타임스=전은정 기자 | SK(대표이사 최태원, 장동현) 주가가 SK이노베이션과 SK스퀘어 등 자회사의 실적 악화로 하락세다. SK 자회사는 유가 하락 및 반도체 시황 악화로 실적이 급감했다. SK의 최근 3개월 주가 추이를 살펴보면 지난 3월 2일 18만2100원에서 지난 2일 16만9600원으로 6.83% 하락했다. SK의..."
2023.06.05.,[이번주 추천주] '美 보조금 기대' SK이노·IET에 주목하라,하나증권은 추천주로 SK이노베이션(096770)을 꼽았다. 미국 조지아 1·2공장의 수율 정상화에 따른 첨단제조세액공제(AMPC)가 반영되면 이익 추정치가 상향 조정될 수 있다는 기대감에서다. 한국전력(015760)과 삼성전기(009150)도 추천주 명단에 올렸다. 한국전력에 대해선 전기 요금 인상을 유력하게...
2023.06.05.,"[더벨][On the move]전고체 승부수 준비하는 SK온, 수율도 잡는다",최 부사장은 삼성전자 수석연구원 출신으로 2021년 7월 차세대배터리연구센터장으로 SK이노베이션에 합류했다. 최 부사장 합류 전까지 SK이노베이션의 차세대 배터리는 환경과학기술원이 연구를 담당했다. SK이노베이션은 전문적인 연구를 진행하기 위해 차세대배터리연구센터를 신설하고 그 자리에 최...
2023.06.05.,"SK어스온, 말레이시아 광구 낙찰 ""로또일까, 아닐까?"" … 말레이시아 '사라왁...","사진 = SK이노베이션] SK어스온이 말레이시아 사라왁(Sarawak) SK 427 광구의 탐사를 시작했다고 알린 가운데, 실제로 원유 매장량을 확인할 수 있을지에 관심이 쏠린다. 5일 <녹색경제신문>의 취재 결과, SK어스온의 말레이시아 광구 개발의 관전포인트는 '주변 석유 매장량'과 '천해 수심'이다. 이근상..."
2023.06.06.,SK이노베이션·한국전력·삼성전기 [주간 추천종목-하나증권],"SK이노베이션, 조지아 1·2공장 수율 정상화 한국전력, LNG 가격 하락으로 원가 부담 감소 삼성전기, 중화권 스마트폰 업체 회복 가능성 [한국금융신문 임지윤 기자] ◇ SK이노베이션(대표 김준) - 유가증권시장(KOSPI) - 미국 조지아 1·2공장 수율 정상화에 따른 첨단 제조 생산 세액공제(AMPC..."
2023.06.06.,SK온 '10조' 자금 확보 성공···금융계 인사 대거 영입 덕?,"/사진=SK온 SK이노베이션의 배터리 자회사 SK온이 지난해 초부터 약 10조원의 자금을 끌어모으는 데 성공하면서 그간 공격적으로 금융계 인사를 영입한 행보 덕을 봤다는 평가가 나온다. SK온은 지난해 10월 최고재무책임자(CFO) 김경훈 부사장을 비롯해 박노훈 부사장, 김지남 부사장 등 투자금융(IB)..."
2023.06.06.,SK아이이테크놀로지 주가 화색 감돌아…사장의 '소통경영' 눈길,김 사장은 취임 후 국내외 사업장에서 구성원들과 소통 자리를 마련해왔는데 이날은 임직원 간담회와 함께 SK이노베이션의 플로깅 캠페인인 '산해진미' 봉사활동도 함께 진행됐다. 6일 한국거래소에 따르면 전 거래일 2.15% 오른 9만9600원에 거래를 마쳤다. SK아이이테크놀로지는 2019년...
2023.06.06.,"SKIET, 8개월 새 주가 114% 올랐다",SK이노베이션 자회사 SKIET는 미래 고성장 업종 전기차 배터리 핵심 소재인 분리막(LiBS) 생산업체다. LiBS는 리튬이온 배터리 양극과 음극의 직접적 접촉을 차단하고 리튬이온 이동 통로를 제공해주는 역할을 한다. 다시 말해 배터리 안정성을 높여준다. 분리막 생산은 진입장벽이 높다. SKIET 여러...
2023.06.06.,"'SK 한식구' 실리콘파운드리, 중동·아프리카로 글로벌 입지 확대","SK하이닉스, SK이노베이션, 사우스웨스트항공, BP 등이 주요 회원사다. 글로벌 기업들을 대상으로 자문 서비스를 제공하고 신생 기업에 투자자를 연결해주는 등의 역할을 수행한다. 실리콘 파운드리 관계자는 ""실리콘 파운드리는 혁신 에코시스템 전반에 걸친 깊은 관계와 수십 년간의 스타트업, 기업..."
2023.06.06.,[2차전지 K-뉴딜] SK아이이테크놀로지 2.15% 올라 업종내 상승률 선두,1위 SK아이이테크놀로지 9만9600원(2.15%)▲2위 SKC 10만4600원(1.95%)▲3위 포스코퓨처엠 38만원(1.6%)▲4위 LG에너지솔루션 59만4000원(1.02%)▲5위 에코프로비엠 25만7500원(0.98%)▲6위 SK이노베이션 19만9700원(0.86%)▲7위 삼성SDI 71만7000원(0.28%)▲8위 LG화학 72만3000원(0.28%)▲9위 에코프로...
2023.06.06.,외국인은 반도체 '폭풍 매수'…개미는 2차전지에 '올인',"LG화학(3283억원), SK이노베이션(2768억원) 등도 개인 투자자의 순매수 대금이 많았다. 같은 기간 외국인은 삼성전자를 10조4950억원어치 순매수했다. 두번째로 많이 사들인 종목은 SK하이닉스(1조 5795억원)였다. 매도 상위 종목까지 보면 개인과 외국인들의 투자가 정반대 모양새다. 삼성전자와..."
2023.06.07.,"SK이노베이션 ""사회적 가치 성과 3조원…역대 최대""","SK이노베이션은 지난해 3조383억원의 사회적 가치를 창출했다고 7일 밝혔다. 전년 대비 125%(1조6875억원) 증가한 수치다. SK이노베이션은 사회적 가치를 ▲자원소비, 환경오염과 관련된 환경공정 및 제품·서비스 등을 평가하는 ‘환경성과’ ▲고용·배당·납세를 측정하는 ‘경제 간접 기여 성과’..."
2023.06.07.,"SK이노베이션, 사회적가치 3조 창출…전년보다 125%↑","SK이노베이션은 지난해 3조383억원의 사회적가치를 창출했다고 7일 밝혔다. 이는 전년 1조6875억원 대비 125% 증가한 수치다. 사회적가치는 ▲자원소비, 환경오염과 관련된 환경공정 및 제품·서비스 등을 평가하는 '환경성과' ▲고용·배당·납세를 측정하는 '경제간접 기여성과' ▲노동, 동반성장..."
2023.06.07.,"협력사 복지 돕는 SK이노베이션…노동부 ""타기업 확산 지원""",권기섭 고용노동부 차관은 7일 SK이노베이션 울산 콤플렉스를 방문해 원·하청 근로복지 격차 해소와 관련한 현장 의견을 들었다. SK이노베이션은 원·하청 복지 격차 해소에 적극적으로 나선 우수 사업장이다. 2017년 근로자들이 자발적으로 기본급의 1%를 기부하면 회사가 같은 금액을 매칭 지원하는 '1...
2023.06.07.,[특징주]'자회사 수익개선 기대감' SK이노베이션 상승,자회사 수익개선 기대감이 부각된 SK이노베이션 주가가 7일 상승했다. 자회사 수익개선 기대감이 부각된 SK이노베이션 주가가 7일 상승했다. /사진=김상문 기자 이날 유가증권시장에서 SK이노베이션 주가는 전일 대비 3.41% 오른 20만6500원에 거래를 마감했다. 주가는 장중 한때 20만7500원(+3.91%)까지...
2023.06.07.,"SK이노베이션, 사회적가치 3조 창출…전년 대비 125%↑",SK이노베이션은 작년 한 해 동안 3조383억원의 사회적가치(SV)를 창출했다고 7일 밝혔다. 이는 전년 대비 125% 증가한 수치다. 사회적 가치는 크게 ▷환경 성과 ▷경제 간접 기여 성과 ▷사회 성과로 나눠 측정된다. SK그룹은 지난 2018년부터 각 계열사를 통해 사회적가치 창출액을 측정해 오고 있다....
2023.06.07.,"SK이노, '2022 사회적가치 성과' 발표…""환경성과 역대 최고""","사진=SK이노베이션 SK이노베이션은 지난해 3조383억원의 사회적가치를 창출했다고 7일 밝혔다. 전년 대비 125%(1조6,875억원) 증가한 수치다. 사회적가치는 ▲자원소비, 환경오염과 관련된 환경공정 및 제품·서비스 등을 평가하는 '환경성과' ▲고용·배당·납세를 측정하는 '경제간접 기여성과' ▲노동..."
2023.06.07.,"[동영상] SK이노베이션, 자회사 덕에 주가 나흘째 상승",SK이노베이션은 자회사 SK온의 실적개선 기대감에 주가가 나흘째 상승세를 보이고 있습니다. SK온은 미국 인플레이션 감축법(IRA) 보조금이 올해 2분기부터 실적에 인식될 전망입니다. SK이노베이션의 주가는 6월 7일 전 거래일보다 6800원(3.41%) 오른 20만6500원에 장을 마쳤습니다. 이날 거래량은...
2023.06.07.,"SK이노, 작년 사회적가치 3조 383억 원 창출…125% ↑","SK이노베이션은 작년 한 해 3조 383억 원의 사회적 가치를 창출했다고 7일 밝혔다. 전년보다 125%(1조 6875억 원) 증가한 수치다. 사회적 가치는 크게 환경 성과, 경제 간접 기여 성과, 사회 성과로 나눠 측정된다. 영역별로 보면 자원 소비, 환경 오염 등과 관련한 환경 성과는 전년보다 11%(1078억 원) 증가한..."
2023.06.08.,"SK온, 5천300억원 추가 투자 유치…최대 5조원 재원 확보","SK이노 이사회, 싱가포르 투자자로부터 4억달러 투자유치 승인 당초 조달 목표 24% 초과…""글로벌 톱 기업 발전 토대 구축"" SK이노베이션의 배터리 자회사 SK온이 5천300억원 규모의 투자금을 추가 유치했다. 이에 따라 SK온은 당초 목표였던 4조원을 24% 초과한 최대 4조9천700억원의 재원을 확보하게 됐다...."
2023.06.08.,"SK온, 5300억원 추가 투자 유치...투자금 목표금액 초과달성",SK이노베이션의 배터리 자회사 SK온이 5300억원 추가 투자 유치에 성공했다. SK온은 이번 추가 투자 유치로 당초 목표로 했던 투자금 금액 4조원을 초과달성하게 됐다. SK이노베이션은 8일 이사회를 열어 SK온 투자유치를 위한 주주 간 계약 체결의 건을 승인했다. 지난달 24일 MBK컨소시엄으로부터...
2023.06.08.,SK이노베이션 “지난해 사회적 가치 3조 원 창출”,"SK이노베이션은 지난해 친환경 공정과 고용 확대, 협력사 지원 등을 통해 사회적가치 3조 383억 원을 창출했다고 밝혔습니다. 이는 일년 전 1조 6,875억 원에 비해 125% 증가한 수칩니다. 사회적가치는 온실가스 감축 등 '환경 성과', 고용, 배당, 납세를 측정하는 '경제간접 기여성과', 동반성장, 사회공헌..."
